source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.147044384652606,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0146045276578291,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.087613093534097,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,Microglia,Tgfb2,ACVR1_TGFbR,0.00818793337465099,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
GABAergic_Neuron,GABAergic_Neuron,Bmp2,BMPR1A_ACVR2A,0.00201473663325415,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
GABAergic_Neuron,Glutamatergic_Neuron,Bmp2,BMPR1A_ACVR2A,0.00182486942426787,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
GABAergic_Neuron,Microglia,Bmp2,BMPR1A_ACVR2A,0.00079490061907958,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
GABAergic_Neuron,GABAergic_Neuron,Bmp2,BMPR1A_ACVR2B,0.00132884986469284,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
GABAergic_Neuron,Glutamatergic_Neuron,Bmp2,BMPR1A_ACVR2B,0.00082099793598609,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
GABAergic_Neuron,Microglia,Bmp2,BMPR1A_ACVR2B,0.000748211955695118,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
GABAergic_Neuron,GABAergic_Neuron,Bmp2,BMPR1A_BMPR2,0.00273640950812187,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
