source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.147044384652606,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0146045276578291,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.087613093534097,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,Microglia,Tgfb2,ACVR1_TGFbR,0.00818793337465099,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.000925371657025791,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.00369397151142811,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.00303660656200149,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.000610091505453413,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2B,0.00347759322993823,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2B,0.00285862364465173,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Ccl4,Ccr5,0.151825273831062,0,CCL4_CCR5,Ccl4  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.172070367283477,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.168314783683527,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Gas6,Mertk,0.0478474786979376,0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848
Glutamatergic_Neuron,Microglia,Gas6,Mertk,0.017558021103125,0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848
Microglia,GABAergic_Neuron,Grn,Sort1,0.0390161510296671,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
Microglia,Glutamatergic_Neuron,Grn,Sort1,0.0330661565747282,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
Microglia,Microglia,Grn,Sort1,0.0687221310343083,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
GABAergic_Neuron,GABAergic_Neuron,Agrn,Dag1,0.00839608064934669,0,AGRN_DAG1,Agrn  - Dag1,AGRN,ECM-Receptor,KEGG: mmu04512
