source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.0995525110350175,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.0497115669714293,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
GABAergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.000187741472349249,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.000752012402359409,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.00107979820808043,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.000121935567427563,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.000367547148288738,0,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,GABAergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.000527841456727097,0,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Glutamatergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.000305553444247183,0,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Glutamatergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.000438822986825302,0.02,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Nrg1,Erbb4,0.0473892758003821,0,NRG1_ERBB4,Nrg1  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg1,Erbb4,0.0668691746721159,0,NRG1_ERBB4,Nrg1  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,GABAergic_Neuron,Nrg2,Erbb4,0.013185691958099,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg2,Erbb4,0.0104475700901298,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg2,Erbb4,0.0188845407538708,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg2,Erbb4,0.0149809697133709,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,GABAergic_Neuron,Nrg3,Erbb4,0.0572645398390186,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg3,Erbb4,0.0508865148307176,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg3,Erbb4,0.0804609115895537,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg3,Erbb4,0.0716957976954959,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg4,Erbb4,0.000767320467775814,0,NRG4_ERBB4,Nrg4  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg4,Erbb4,0.00110496578180068,0,NRG4_ERBB4,Nrg4  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,GABAergic_Neuron,Fgf1,Fgfr1,0.00330755821514257,0,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,GABAergic_Neuron,Fgf1,Fgfr1,0.00268639734338838,0,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr1,0.00222799530531969,0,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr1,0.00180920879713885,0.03,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,GABAergic_Neuron,Fgf1,Fgfr2,0.00749755645583331,0,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,GABAergic_Neuron,Fgf1,Fgfr2,0.00609432352831126,0.03,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr2,0.00707671018854107,0,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr2,0.00575178583976278,0.03,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Microglia,Fgf1,Fgfr2,0.00420856740577258,0,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,GABAergic_Neuron,Fgf9,Fgfr1,0.00123832170870331,0,FGF9_FGFR1,Fgf9  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf9,Fgfr1,0.000833577669597884,0,FGF9_FGFR1,Fgf9  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,GABAergic_Neuron,Fgf9,Fgfr2,0.00281442339555809,0,FGF9_FGFR2,Fgf9  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf9,Fgfr2,0.00265574326074504,0,FGF9_FGFR2,Fgf9  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
Microglia,Microglia,Ccl4,Ccr5,0.100781367670783,0,CCL4_CCR5,Ccl4  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Ccl3,Ccr5,0.064849998061181,0,CCL3_CCR5,Ccl3  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.107318525148428,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.0895851035680455,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Il34,Csf1r,0.00718052575477121,0,IL34_CSF1R,Il34  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Il34,Csf1r,0.00522313621056257,0,IL34_CSF1R,Il34  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Csf1,Csf1r,0.00489948518465849,0,CSF1_CSF1R,Csf1  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Csf1,Csf1r,0.0186194665801102,0,CSF1_CSF1R,Csf1  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Csf1,Csf1r,0.0225371483977668,0,CSF1_CSF1R,Csf1  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Tnf,Tnfrsf1a,0.0109242500960356,0,TNF_TNFRSF1A,Tnf  - Tnfrsf1a,TNF,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Tnf,Tnfrsf1b,0.0311779897949174,0,TNF_TNFRSF1B,Tnf  - Tnfrsf1b,TNF,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Tnfsf13b,Tnfrsf13b,0.00120572144464464,0,TNFSF13B_TNFRSF13B,Tnfsf13b  - Tnfrsf13b,BAFF,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,GABAergic_Neuron,Nampt,Insr,0.00549757403200155,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
Glutamatergic_Neuron,GABAergic_Neuron,Nampt,Insr,0.00816586876154263,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
Glutamatergic_Neuron,Glutamatergic_Neuron,Nampt,Insr,0.00790962851517918,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
GABAergic_Neuron,GABAergic_Neuron,Ptn,Ptprz1,0.00675073695587203,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Ptprz1,0.00909352965684841,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Ptprz1,0.00542448671012912,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Ptprz1,0.00731040178864992,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Sdc2,0.00712761225900595,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Sdc2,0.00959993258555584,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc2,0.00966522837940778,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc2,0.0130062289084049,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Sdc3,0.0073470770946194,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Sdc3,0.00989476348199735,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc3,0.0065131432843029,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc3,0.00877420927656348,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Microglia,Ptn,Sdc4,0.00331891592059011,0,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Microglia,Ptn,Sdc4,0.00447608803258248,0,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Ncl,0.0135323950548073,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Ncl,0.0181856202233009,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Ncl,0.01454609241423,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Ncl,0.0195409809419938,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Microglia,Ptn,Ncl,0.0138570476407807,0.02,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
