source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.129101776870938,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.065745861050634,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.000304786594665475,0.02,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.000405175327688141,0.01,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.00160769418110807,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.000202610175293863,0.02,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.000227643085518237,0.01,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,GABAergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.000657321585191069,0,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Glutamatergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.000435858365367234,0.01,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Nrg1,Erbb4,0.0779084970057576,0,NRG1_ERBB4,Nrg1  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg1,Erbb4,0.0866783917914634,0,NRG1_ERBB4,Nrg1  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,GABAergic_Neuron,Nrg2,Erbb4,0.0247384014114089,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg2,Erbb4,0.0178579162259231,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg2,Erbb4,0.0277029353805319,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg2,Erbb4,0.0200148464788049,0.01,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,GABAergic_Neuron,Nrg3,Erbb4,0.0898107156490048,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg3,Erbb4,0.0816786440250712,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg3,Erbb4,0.0997754297646879,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg3,Erbb4,0.0908311264218806,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg4,Erbb4,0.00135968287132476,0,NRG4_ERBB4,Nrg4  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg4,Erbb4,0.00152700746267695,0,NRG4_ERBB4,Nrg4  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,GABAergic_Neuron,Fgf1,Fgfr1,0.00398741791804507,0,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr1,0.00307625692755057,0,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,GABAergic_Neuron,Fgf1,Fgfr2,0.00987628648938088,0,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr2,0.00836543790577766,0,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Microglia,Fgf1,Fgfr2,0.00762312586834938,0,FGF1_FGFR2,Fgf1  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,GABAergic_Neuron,Fgf9,Fgfr1,0.00138448711851964,0,FGF9_FGFR1,Fgf9  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf9,Fgfr1,0.00106748184075282,0,FGF9_FGFR1,Fgf9  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,GABAergic_Neuron,Fgf9,Fgfr2,0.00344247085176942,0,FGF9_FGFR2,Fgf9  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Glutamatergic_Neuron,Fgf9,Fgfr2,0.00291295501622682,0,FGF9_FGFR2,Fgf9  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
GABAergic_Neuron,Microglia,Fgf9,Fgfr2,0.00265317773071315,0,FGF9_FGFR2,Fgf9  - Fgfr2,FGF,Secreted Signaling,PMC: 4393358
Microglia,Microglia,Ccl4,Ccr5,0.0942341034684398,0,CCL4_CCR5,Ccl4  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Ccl3,Ccr5,0.0343813570979684,0,CCL3_CCR5,Ccl3  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.14062415809832,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.111867756770165,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Il34,Csf1r,0.00958761327747572,0,IL34_CSF1R,Il34  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Tnf,Tnfrsf1a,0.00997218934119243,0,TNF_TNFRSF1A,Tnf  - Tnfrsf1a,TNF,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Tnf,Tnfrsf1b,0.0320088032693468,0,TNF_TNFRSF1B,Tnf  - Tnfrsf1b,TNF,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,GABAergic_Neuron,Nampt,Insr,0.0107033150859075,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
Glutamatergic_Neuron,Glutamatergic_Neuron,Nampt,Insr,0.0108135794472129,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
GABAergic_Neuron,Microglia,Nampt,Insr,0.00831423474655583,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
Glutamatergic_Neuron,Microglia,Nampt,Insr,0.0125297827097189,0,NAMPT_INSR,Nampt  - Insr,VISFATIN,Secreted Signaling,PMID: 28490838
GABAergic_Neuron,GABAergic_Neuron,Ptn,Ptprz1,0.0078110715131295,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Ptprz1,0.0118273947654141,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Ptprz1,0.00680841863638266,0.01,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Ptprz1,0.0103145539362107,0,PTN_PTPRZ1,Ptn  - Ptprz1,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Sdc2,0.00863245955147424,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Sdc2,0.0130655652857827,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc2,0.00956545389373982,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc2,0.0144706950233102,0,PTN_SDC2,Ptn  - Sdc2,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Sdc3,0.00789596498686104,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Sdc3,0.0119554130815771,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc3,0.00661307881872064,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Sdc3,0.0100196346862828,0,PTN_SDC3,Ptn  - Sdc3,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Microglia,Ptn,Sdc4,0.00347891456241201,0,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Microglia,Ptn,Sdc4,0.00527956759877474,0,PTN_SDC4,Ptn  - Sdc4,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Ncl,0.0157602864242276,0.01,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Ncl,0.0237660589235664,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Ncl,0.0175653454934965,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Ncl,0.0264633828181318,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Microglia,Ptn,Ncl,0.0172262784170871,0,PTN_NCL,Ptn  - Ncl,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,GABAergic_Neuron,Ptn,Alk,0.0131766133576367,0,PTN_ALK,Ptn  - Alk,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,GABAergic_Neuron,Ptn,Alk,0.0198964851143276,0,PTN_ALK,Ptn  - Alk,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
GABAergic_Neuron,Glutamatergic_Neuron,Ptn,Alk,0.0198421692410442,0,PTN_ALK,Ptn  - Alk,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Ptn,Alk,0.0298585185093108,0,PTN_ALK,Ptn  - Alk,PTN,Secreted Signaling,PMID: 28356350; PMID: 25620911
Glutamatergic_Neuron,Glutamatergic_Neuron,Gal,Galr1,0.000196014416736652,0,GAL_GALR1,Gal  - Galr1,GALANIN,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Pdyn,Oprk1,0.000360776328366479,0,PDYN_OPRK1,Pdyn  - Oprk1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Pdyn,Oprl1,0.00142884018904433,0,PDYN_OPRL1,Pdyn  - Oprl1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,Glutamatergic_Neuron,Pdyn,Oprl1,0.00148937528901983,0,PDYN_OPRL1,Pdyn  - Oprl1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Pdyn,Oprm1,0.0027540007584988,0,PDYN_OPRM1,Pdyn  - Oprm1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,Glutamatergic_Neuron,Pdyn,Oprm1,0.00170296318907907,0,PDYN_OPRM1,Pdyn  - Oprm1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Pomc,Oprk1,0.000265727936536993,0,POMC_OPRK1,Pomc  - Oprk1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Pomc,Oprl1,0.00105270116590251,0,POMC_OPRL1,Pomc  - Oprl1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,Glutamatergic_Neuron,Pomc,Oprl1,0.00109731804613172,0,POMC_OPRL1,Pomc  - Oprl1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Pomc,Oprm1,0.00202972521686975,0,POMC_OPRM1,Pomc  - Oprm1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,Glutamatergic_Neuron,Pomc,Oprm1,0.00125475256713582,0,POMC_OPRM1,Pomc  - Oprm1,OPIOID,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,GABAergic_Neuron,Sst,Sstr2,0.000182832322271324,0,SST_SSTR2,Sst  - Sstr2,SOMATOSTATIN,Secreted Signaling,KEGG: mmu04080
Glutamatergic_Neuron,Glutamatergic_Neuron,Sst,Sstr2,0.00102625226239208,0,SST_SSTR2,Sst  - Sstr2,SOMATOSTATIN,Secreted Signaling,KEGG: mmu04080
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA1,0.00102897619459932,0,SEMA3C_NRP1_PLXNA1,Sema3c  - (Nrp1+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA1,0.00185219745760905,0,SEMA3C_NRP1_PLXNA1,Sema3c  - (Nrp1+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA2,0.00148899060783051,0,SEMA3C_NRP1_PLXNA2,Sema3c  - (Nrp1+Plxna2),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA2,0.00267925436079315,0,SEMA3C_NRP1_PLXNA2,Sema3c  - (Nrp1+Plxna2),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA3,0.000479224087285655,0.03,SEMA3C_NRP1_PLXNA3,Sema3c  - (Nrp1+Plxna3),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA3,0.000863002088735503,0,SEMA3C_NRP1_PLXNA3,Sema3c  - (Nrp1+Plxna3),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA4,0.00216886253917384,0.01,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP1_PLXNA4,0.00390047681151351,0,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,Microglia,Sema3c,NRP1_PLXNA4,0.00288699224905594,0,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,Microglia,Sema3c,NRP1_PLXNA4,0.00518897785232003,0,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP2_PLXNA1,0.00139335400329928,0,SEMA3C_NRP2_PLXNA1,Sema3c  - (Nrp2+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP2_PLXNA1,0.00250736009699141,0,SEMA3C_NRP2_PLXNA1,Sema3c  - (Nrp2+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,Glutamatergic_Neuron,Sema3c,NRP2_PLXNA1,0.00145911395199288,0,SEMA3C_NRP2_PLXNA1,Sema3c  - (Nrp2+Plxna1),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP2_PLXNA2,0.00201593853913581,0,SEMA3C_NRP2_PLXNA2,Sema3c  - (Nrp2+Plxna2),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP2_PLXNA2,0.00362590234684116,0,SEMA3C_NRP2_PLXNA2,Sema3c  - (Nrp2+Plxna2),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,Glutamatergic_Neuron,Sema3c,NRP2_PLXNA2,0.00262012808491871,0,SEMA3C_NRP2_PLXNA2,Sema3c  - (Nrp2+Plxna2),SEMA3,Secreted Signaling,PMID: 27533782
GABAergic_Neuron,GABAergic_Neuron,Sema3c,NRP2_PLXNA3,0.000649051896784918,0,SEMA3C_NRP2_PLXNA3,Sema3c  - (Nrp2+Plxna3),SEMA3,Secreted Signaling,PMID: 27533782
Glutamatergic_Neuron,GABAergic_Neuron,Sema3c,NRP2_PLXNA3,0.00116867442858236,0,SEMA3C_NRP2_PLXNA3,Sema3c  - (Nrp2+Plxna3),SEMA3,Secreted Signaling,PMID: 27533782
