source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Glutamatergic_Neuron,GABAergic_Neuron,NRXN1_NLGN1,Nrxn1  - Nlgn1,Nrxn1,Nlgn1,NRXN,Cell-Cell Contact,0.0,1.0,0.412313400288273,0.01,0.412313400288273,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NRG3_ERBB4,Nrg3  - Erbb4,Nrg3,Erbb4,NRG,Secreted Signaling,0.0,1.0,0.357682753660637,0.0,0.357682753660637,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,NRG3_ERBB4,Nrg3  - Erbb4,Nrg3,Erbb4,NRG,Secreted Signaling,0.0,1.0,0.3549952363383,0.0,0.3549952363383,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.0,1.0,0.311251196654314,0.0,0.311251196654314,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.0,1.0,0.291147505735815,0.0,0.291147505735815,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NRXN2_NLGN1,Nrxn2  - Nlgn1,Nrxn2,Nlgn1,NRXN,Cell-Cell Contact,0.0,1.0,0.263372363037742,0.0,0.263372363037742,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NRG1_ERBB4,Nrg1  - Erbb4,Nrg1,Erbb4,NRG,Secreted Signaling,0.181601566447696,0.0,0.0,1.0,-0.181601566447696,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,NCAM2_L1CAM,Ncam2  - L1cam,Ncam2,L1cam,NCAM,Cell-Cell Contact,0.0,1.0,0.135989908166705,0.0,0.135989908166705,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,LRRC4C_NTNG1,Lrrc4c  - Ntng1,Lrrc4c,Ntng1,NGL,Cell-Cell Contact,0.133164511241398,0.0,0.0,1.0,-0.133164511241398,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NCAM2_L1CAM,Ncam2  - L1cam,Ncam2,L1cam,NCAM,Cell-Cell Contact,0.0,1.0,0.12163741682427,0.0,0.12163741682427,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,LRRC4C_NTNG1,Lrrc4c  - Ntng1,Lrrc4c,Ntng1,NGL,Cell-Cell Contact,0.119388838736015,0.0,0.0,1.0,-0.119388838736015,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,CDH2_CDH2,Cdh2  - Cdh2,Cdh2,Cdh2,CDH,Cell-Cell Contact,0.10834553427398,0.02,0.0,1.0,-0.10834553427398,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,Microglia,TNR_ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),Tnr,ITGA9_ITGB1,TENASCIN,ECM-Receptor,0.104108666321647,0.0,0.0,1.0,-0.104108666321647,ARC_ARH,True,Microglia_incoming
Glutamatergic_Neuron,GABAergic_Neuron,NCAM1_FGFR1,Ncam1  - Fgfr1,Ncam1,Fgfr1,NCAM,Cell-Cell Contact,0.0,1.0,0.10260452720967,0.0,0.10260452720967,ARC_ARH,False,Neuron_neuron
Microglia,Microglia,CCL4_CCR5,Ccl4  - Ccr5,Ccl4,Ccr5,CCL,Secreted Signaling,0.0807737286286863,0.0,0.180048853101167,0.0,0.0992751244724807,ARC_ARH,True,Microglia_autocrine
Microglia,Microglia,CCL3_CCR5,Ccl3  - Ccr5,Ccl3,Ccr5,CCL,Secreted Signaling,0.0669441993386232,0.0,0.165882125883352,0.0,0.0989379265447288,ARC_ARH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,TNR_ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),Tnr,ITGA9_ITGB1,TENASCIN,ECM-Receptor,0.0956130962639389,0.0,0.0,1.0,-0.0956130962639389,ARC_ARH,True,Microglia_incoming
Glutamatergic_Neuron,Glutamatergic_Neuron,EFNA5_EPHB2,Efna5  - Ephb2,Efna5,Ephb2,EPHA,Cell-Cell Contact,0.0811422671553359,0.04,0.0,1.0,-0.0811422671553359,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,CDH2_CDH2,Cdh2  - Cdh2,Cdh2,Cdh2,CDH,Cell-Cell Contact,0.0,1.0,0.0776890663730154,0.01,0.0776890663730154,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,CDH2_CDH2,Cdh2  - Cdh2,Cdh2,Cdh2,CDH,Cell-Cell Contact,0.0,1.0,0.0732372059544889,0.0,0.0732372059544889,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,CDH2_CDH2,Cdh2  - Cdh2,Cdh2,Cdh2,CDH,Cell-Cell Contact,0.0,1.0,0.0732372059544889,0.0,0.0732372059544889,ARC_ARH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,Cell-Cell Contact,0.0,1.0,0.0650513549943401,0.03,0.0650513549943401,ARC_ARH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,EFNA5_EPHB2,Efna5  - Ephb2,Efna5,Ephb2,EPHA,Cell-Cell Contact,0.0,1.0,0.0650162434801915,0.01,0.0650162434801915,ARC_ARH,False,Neuron_neuron
Microglia,Microglia,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),Tgfb1,ACVR1B_TGFbR2,TGFb,Secreted Signaling,0.0,1.0,0.0645272781660704,0.0,0.0645272781660704,ARC_ARH,True,Microglia_autocrine
Microglia,Microglia,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),Tgfb1,ACVR1_TGFbR,TGFb,Secreted Signaling,0.16567849161954,0.0,0.101795704994379,0.0,-0.06388278662516102,ARC_ARH,True,Microglia_autocrine
