source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
GABAergic_Neuron,Glutamatergic_Neuron,NRXN3_NLGN1,Nrxn3  - Nlgn1,Nrxn3,Nlgn1,NRXN,Cell-Cell Contact,0.0,1.0,0.454379619092933,0.0,0.454379619092933,DMH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NCAM1_NCAM1,Ncam1  - Ncam1,Ncam1,Ncam1,NCAM,Cell-Cell Contact,0.29988113346626,0.0,0.0,1.0,-0.29988113346626,DMH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.25676511444691,0.0,0.0,1.0,-0.25676511444691,DMH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.248815693389867,0.0,0.0,1.0,-0.248815693389867,DMH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,LRRC4C_NTNG1,Lrrc4c  - Ntng1,Lrrc4c,Ntng1,NGL,Cell-Cell Contact,0.0,1.0,0.166979409035924,0.0,0.166979409035924,DMH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,LRRC4C_NTNG1,Lrrc4c  - Ntng1,Lrrc4c,Ntng1,NGL,Cell-Cell Contact,0.0,1.0,0.15473288360303,0.0,0.15473288360303,DMH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NRXN3_NLGN2,Nrxn3  - Nlgn2,Nrxn3,Nlgn2,NRXN,Cell-Cell Contact,0.0,1.0,0.143675201228348,0.0,0.143675201228348,DMH,False,Neuron_neuron
Microglia,Microglia,CCL3_CCR5,Ccl3  - Ccr5,Ccl3,Ccr5,CCL,Secreted Signaling,0.0,1.0,0.140558236828657,0.0,0.140558236828657,DMH,True,Microglia_autocrine
Glutamatergic_Neuron,Glutamatergic_Neuron,NRXN1_NLGN3,Nrxn1  - Nlgn3,Nrxn1,Nlgn3,NRXN,Cell-Cell Contact,0.117140081923623,0.03,0.0,1.0,-0.117140081923623,DMH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NCAM1_L1CAM,Ncam1  - L1cam,Ncam1,L1cam,NCAM,Cell-Cell Contact,0.113182521767948,0.0,0.0,1.0,-0.113182521767948,DMH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NCAM2_L1CAM,Ncam2  - L1cam,Ncam2,L1cam,NCAM,Cell-Cell Contact,0.0933311049760072,0.0,0.0,1.0,-0.0933311049760072,DMH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NCAM2_L1CAM,Ncam2  - L1cam,Ncam2,L1cam,NCAM,Cell-Cell Contact,0.0856562044831427,0.0,0.0,1.0,-0.0856562044831427,DMH,False,Neuron_neuron
