source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Microglia,Microglia,CCL3_CCR5,Ccl3  - Ccr5,Ccl3,Ccr5,CCL,Secreted Signaling,0.0,1.0,0.140558236828657,0.0,0.140558236828657,DMH,True,Microglia_autocrine
Microglia,Microglia,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),Tgfb1,TGFbR1_R2,TGFb,Secreted Signaling,0.147044384652606,0.0,0.215274853199604,0.0,0.06823046854699799,DMH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,Cell-Cell Contact,0.0644407161036839,0.0,0.0,1.0,-0.0644407161036839,DMH,True,Microglia_incoming
Microglia,Microglia,CCL4_CCR5,Ccl4  - Ccr5,Ccl4,Ccr5,CCL,Secreted Signaling,0.151825273831062,0.0,0.20096047774589,0.0,0.04913520391482798,DMH,True,Microglia_autocrine
Microglia,Microglia,ITGA9_ITGB1_VCAM1,Vcam1 - (Itga9+Itgb1),ITGA9_ITGB1,Vcam1,VCAM,Cell-Cell Contact,0.0,1.0,0.0432929812661418,0.0,0.0432929812661418,DMH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,THY1_ITGAM_ITGB2,Thy1  - (Itgam+Itgb2),Thy1,ITGAM_ITGB2,THY1,Cell-Cell Contact,0.0,1.0,0.0424569029103995,0.0,0.0424569029103995,DMH,True,Microglia_incoming
GABAergic_Neuron,Microglia,THY1_ITGAM_ITGB2,Thy1  - (Itgam+Itgb2),Thy1,ITGAM_ITGB2,THY1,Cell-Cell Contact,0.0,1.0,0.0394304638917491,0.0,0.0394304638917491,DMH,True,Microglia_incoming
Microglia,Microglia,GAS6_MERTK,Gas6  - Mertk,Gas6,Mertk,GAS,Secreted Signaling,0.0,1.0,0.0386638658639036,0.0,0.0386638658639036,DMH,True,Microglia_autocrine
Microglia,Microglia,SEMA4D_PLXNB2,Sema4d  - Plxnb2,Sema4d,Plxnb2,SEMA4,Cell-Cell Contact,0.0638563810434443,0.0,0.101491429608889,0.0,0.03763504856544471,DMH,True,Microglia_autocrine
Microglia,Microglia,LGALS9_IGHM,Lgals9  - Ighm,Lgals9,Ighm,GALECTIN,Secreted Signaling,0.006286721523544,0.0,0.0408690631747176,0.0,0.0345823416511736,DMH,True,Microglia_autocrine
