source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
Glutamatergic_Neuron,Glutamatergic_Neuron,NEGR1_NEGR1,Negr1  - Negr1,Negr1,Negr1,NEGR,Cell-Cell Contact,0.0,1.0,0.177668205381152,0.01,0.177668205381152,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NEGR1_NEGR1,Negr1  - Negr1,Negr1,Negr1,NEGR,Cell-Cell Contact,0.267361270776033,0.0,0.19310041008965,0.0,-0.07426086068638299,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NRXN3_NLGN1,Nrxn3  - Nlgn1,Nrxn3,Nlgn1,NRXN,Cell-Cell Contact,0.385581357247101,0.0,0.311486402495212,0.0,-0.07409495475188904,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NRXN3_NLGN1,Nrxn3  - Nlgn1,Nrxn3,Nlgn1,NRXN,Cell-Cell Contact,0.351687372450432,0.0,0.278040503839298,0.0,-0.07364686861113401,PVN_PVH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NRXN1_NLGN1,Nrxn1  - Nlgn1,Nrxn1,Nlgn1,NRXN,Cell-Cell Contact,0.311587852294413,0.0,0.240308718543771,0.0,-0.07127913375064199,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NRXN1_NLGN1,Nrxn1  - Nlgn1,Nrxn1,Nlgn1,NRXN,Cell-Cell Contact,0.324305970906938,0.0,0.253170093512314,0.0,-0.07113587739462401,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.194426500921398,0.0,0.12875582489313,0.0,-0.06567067602826798,PVN_PVH,False,Neuron_neuron
Glutamatergic_Neuron,Glutamatergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.195014582259127,0.0,0.130349204052743,0.0,-0.06466537820638399,PVN_PVH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NEGR1_NEGR1,Negr1  - Negr1,Negr1,Negr1,NEGR,Cell-Cell Contact,0.247260840549674,0.0,0.185260189895188,0.0,-0.06200065065448601,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,Glutamatergic_Neuron,NEGR1_NEGR1,Negr1  - Negr1,Negr1,Negr1,NEGR,Cell-Cell Contact,0.247260840549674,0.0,0.185260189895188,0.0,-0.06200065065448601,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.198805562954574,0.0,0.141539161544759,0.0,-0.05726640140981498,PVN_PVH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NCAM1_NCAM2,Ncam1  - Ncam2,Ncam1,Ncam2,NCAM,Cell-Cell Contact,0.199403611011501,0.0,0.143264723735455,0.0,-0.05613888727604599,PVN_PVH,False,Neuron_neuron
GABAergic_Neuron,GABAergic_Neuron,NCAM1_NCAM1,Ncam1  - Ncam1,Ncam1,Ncam1,NCAM,Cell-Cell Contact,0.212536202648556,0.0,0.159460948437046,0.0,-0.05307525421150999,PVN_PVH,False,Neuron_neuron
Glutamatergic_Neuron,GABAergic_Neuron,NCAM1_NCAM1,Ncam1  - Ncam1,Ncam1,Ncam1,NCAM,Cell-Cell Contact,0.213164565859925,0.0,0.161363932833112,0.0,-0.05180063302681298,PVN_PVH,False,Neuron_neuron
