source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,annotation,prob_young,pval_young,prob_aged,pval_aged,delta_prob,region,microglia_involved,direction
GABAergic_Neuron,Microglia,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,Cx3cl1,Cx3cr1,CX3C,Secreted Signaling,0.14062415809832,0.0,0.107318525148428,0.0,-0.033305632949891986,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,F11R_F11R,F11r  - F11r,F11r,F11r,JAM,Cell-Cell Contact,0.102375726255499,0.0,0.0707865043730453,0.0,-0.031589221882453694,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,CCL3_CCR5,Ccl3  - Ccr5,Ccl3,Ccr5,CCL,Secreted Signaling,0.0343813570979684,0.0,0.064849998061181,0.0,0.030468640963212598,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),Tgfb1,TGFbR1_R2,TGFb,Secreted Signaling,0.129101776870938,0.0,0.0995525110350175,0.0,-0.02954926583592049,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,Cell-Cell Contact,0.0,1.0,0.0273106131142438,0.0,0.0273106131142438,PVN_PVH,True,Microglia_incoming
Microglia,Glutamatergic_Neuron,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,Cell-Cell Contact,0.0,1.0,0.0273106131142438,0.0,0.0273106131142438,PVN_PVH,True,Microglia_outgoing
Microglia,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.0225371483977668,0.0,0.0225371483977668,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,Cx3cl1,Cx3cr1,CX3C,Secreted Signaling,0.111867756770165,0.0,0.0895851035680455,0.0,-0.0222826532021195,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,TNR_ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),Tnr,ITGA9_ITGB1,TENASCIN,ECM-Receptor,0.0481587835613214,0.0,0.0270382780347775,0.0,-0.021120505526543903,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,TNR_ITGA9_ITGB1,Tnr  - (Itga9+Itgb1),Tnr,ITGA9_ITGB1,TENASCIN,ECM-Receptor,0.057089689619679,0.0,0.0369756858183327,0.0,-0.0201140038013463,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,Cell-Cell Contact,0.0851064963283384,0.0,0.0656300929162193,0.0,-0.019476403412119106,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,CSF1_CSF1R,Csf1  - Csf1r,Csf1,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.0186194665801102,0.0,0.0186194665801102,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,Cell-Cell Contact,0.047948484717146,0.0,0.0298027848156322,0.0,-0.018145699901513802,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),Tgfb1,ACVR1_TGFbR,TGFb,Secreted Signaling,0.065745861050634,0.0,0.0497115669714293,0.0,-0.016034294079204703,PVN_PVH,True,Microglia_autocrine
Glutamatergic_Neuron,Microglia,DLK1_NOTCH2,Dlk1  - Notch2,Dlk1,Notch2,NOTCH,Cell-Cell Contact,0.0576815629061625,0.0,0.0417252934915967,0.0,-0.0159562694145658,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,Cell-Cell Contact,0.0521564388168263,0.0,0.0369595789248067,0.0,-0.015196859892019597,PVN_PVH,True,Microglia_incoming
Microglia,GABAergic_Neuron,PTPRM_PTPRM,Ptprm  - Ptprm,Ptprm,Ptprm,PTPRM,Cell-Cell Contact,0.0521564388168263,0.0,0.0369595789248067,0.0,-0.015196859892019597,PVN_PVH,True,Microglia_outgoing
Glutamatergic_Neuron,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,Cell-Cell Contact,0.0,1.0,0.0128788042177115,0.0,0.0128788042177115,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,NAMPT_INSR,Nampt  - Insr,Nampt,Insr,VISFATIN,Secreted Signaling,0.0125297827097189,0.0,0.0,1.0,-0.0125297827097189,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,APP_CD74,App  - Cd74,App,Cd74,APP,Cell-Cell Contact,0.0,1.0,0.0108833494500734,0.0,0.0108833494500734,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,LGALS9_CD45,Lgals9  - Cd45,Lgals9,Ptprc,GALECTIN,Secreted Signaling,0.0204920578093209,0.0,0.0302457866759059,0.0,0.009753728866585001,PVN_PVH,True,Microglia_autocrine
GABAergic_Neuron,Microglia,DLK1_NOTCH2,Dlk1  - Notch2,Dlk1,Notch2,NOTCH,Cell-Cell Contact,0.0220225193281731,0.0,0.0125836628581775,0.0,-0.0094388564699956,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,NAMPT_INSR,Nampt  - Insr,Nampt,Insr,VISFATIN,Secreted Signaling,0.0083142347465558,0.0,0.0,1.0,-0.0083142347465558,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,DLK1_NOTCH1,Dlk1  - Notch1,Dlk1,Notch1,NOTCH,Cell-Cell Contact,0.0185150758298071,0.0,0.0112080624310444,0.0,-0.007307013398762701,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,ITGA9_ITGB1_VCAM1,Vcam1 - (Itga9+Itgb1),ITGA9_ITGB1,Vcam1,VCAM,Cell-Cell Contact,0.0,1.0,0.0066858785126133,0.0,0.0066858785126133,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,CCL4_CCR5,Ccl4  - Ccr5,Ccl4,Ccr5,CCL,Secreted Signaling,0.0942341034684398,0.0,0.100781367670783,0.0,0.006547264202343195,PVN_PVH,True,Microglia_autocrine
Microglia,Glutamatergic_Neuron,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,Secreted Signaling,0.0285720832564349,0.0,0.0220429414776959,0.0,-0.006529141778738999,PVN_PVH,True,Microglia_outgoing
Microglia,GABAergic_Neuron,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,Secreted Signaling,0.035935968736824,0.0,0.029759408813212,0.0,-0.0061765599236120045,PVN_PVH,True,Microglia_outgoing
Microglia,Microglia,GRN_SORT1,Grn  - Sort1,Grn,Sort1,GRN,Secreted Signaling,0.0501220371538857,0.0,0.0439526874644892,0.0,-0.006169349689396496,PVN_PVH,True,Microglia_autocrine
Microglia,GABAergic_Neuron,F11R_JAM3,F11r  - Jam3,F11r,Jam3,JAM,Cell-Cell Contact,0.0165359264626861,0.0,0.0111202045376922,0.0,-0.005415721924993901,PVN_PVH,True,Microglia_outgoing
GABAergic_Neuron,Microglia,JAM3_F11R,Jam3  - F11r,Jam3,F11r,JAM,Cell-Cell Contact,0.0165359264626861,0.0,0.0111202045376922,0.0,-0.005415721924993901,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,COL4A2_ITGA9_ITGB1,Col4a2  - (Itga9+Itgb1),Col4a2,ITGA9_ITGB1,COLLAGEN,ECM-Receptor,0.0128681758340027,0.0,0.0076351679428255,0.0,-0.005233007891177199,PVN_PVH,True,Microglia_incoming
Glutamatergic_Neuron,Microglia,IL34_CSF1R,Il34  - Csf1r,Il34,Csf1r,CSF,Secreted Signaling,0.0,1.0,0.0052231362105625,0.0,0.0052231362105625,PVN_PVH,True,Microglia_incoming
GABAergic_Neuron,Microglia,SEMA6B_PLXNA4,Sema6b  - Plxna4,Sema6b,Plxna4,SEMA6,Cell-Cell Contact,0.0167848288297173,0.0,0.0116139396532087,0.0,-0.005170889176508601,PVN_PVH,True,Microglia_incoming
Microglia,Microglia,F11R_JAM2,F11r  - Jam2,F11r,Jam2,JAM,Cell-Cell Contact,0.014184208542146,0.0,0.0090664909963251,0.0,-0.0051177175458209,PVN_PVH,True,Microglia_autocrine
Microglia,Microglia,JAM2_F11R,Jam2  - F11r,Jam2,F11r,JAM,Cell-Cell Contact,0.014184208542146,0.0,0.0090664909963251,0.0,-0.0051177175458209,PVN_PVH,True,Microglia_autocrine
