age,source,target,interaction_name,interaction_name_2,ligand,receptor,pathway_name,ARC_ARH,DMH,PVN_PVH,max_region,n_regions_detected,specificity_ratio
aged,GABAergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0023294117240585,PVN_PVH,1,0.9999999995707071
aged,GABAergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,0.0,0.0,0.00053524826087,PVN_PVH,1,0.9999999981317081
aged,GABAergic_Neuron,Microglia,FGF1_FGFR2,Fgf1  - Fgfr2,Fgf1,Fgfr2,FGF,0.0,0.0,0.0042085674057725,PVN_PVH,1,0.9999999997623894
aged,GABAergic_Neuron,Microglia,GAS6_AXL,Gas6  - Axl,Gas6,Axl,GAS,0.0,0.0024372358715674,0.0,DMH,1,0.9999999995896991
aged,GABAergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),Gdf11,TGFBR1_ACVR2A,GDF,0.0,0.0,0.0007520124023594,PVN_PVH,1,0.9999999986702347
aged,GABAergic_Neuron,Microglia,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),Gdf11,TGFBR1_ACVR2B,GDF,0.0,0.0031061897404584,0.0,DMH,1,0.9999999996780622
aged,GABAergic_Neuron,Microglia,NAMPT_ITGA5_ITGB1,Nampt  - (Itga5+Itgb1),Nampt,ITGA5_ITGB1,VISFATIN,0.0071977989071835,0.0,0.0,ARC_ARH,1,0.9999999998610686
aged,GABAergic_Neuron,Microglia,PROS1_AXL,Pros1  - Axl,Pros1,Axl,PROS,0.0,0.0006151410144519,0.0,DMH,1,0.9999999983743565
aged,GABAergic_Neuron,Microglia,SEMA3A_NRP1_PLXNA4,Sema3a  - (Nrp1+Plxna4),Sema3a,NRP1_PLXNA4,SEMA3,0.0,0.005865469668572,0.0,DMH,1,0.9999999998295106
aged,GABAergic_Neuron,Microglia,SEMA3C_NRP1_PLXNA4,Sema3c  - (Nrp1+Plxna4),Sema3c,NRP1_PLXNA4,SEMA3,0.0,0.0049101890420986,0.0,DMH,1,0.9999999997963418
aged,GABAergic_Neuron,Microglia,SEMA4G_PLXNB2,Sema4g  - Plxnb2,Sema4g,Plxnb2,SEMA4,0.0,0.0,0.0057384059998493,PVN_PVH,1,0.9999999998257355
aged,GABAergic_Neuron,Microglia,SEMA6A_PLXNA4,Sema6a  - Plxna4,Sema6a,Plxna4,SEMA6,0.0,0.0,0.0298027848156322,PVN_PVH,1,0.9999999999664462
aged,GABAergic_Neuron,Microglia,SEMA6B_PLXNA4,Sema6b  - Plxna4,Sema6b,Plxna4,SEMA6,0.0,0.0,0.0116139396532087,PVN_PVH,1,0.9999999999138965
aged,GABAergic_Neuron,Microglia,TNXB_ITGA9_ITGB1,Tnxb  - (Itga9+Itgb1),Tnxb,ITGA9_ITGB1,TENASCIN,0.0037072072883357,0.0,0.0,ARC_ARH,1,0.9999999997302552
aged,GABAergic_Neuron,Microglia,TNXB_SDC4,Tnxb  - Sdc4,Tnxb,Sdc4,TENASCIN,0.0010754574252789,0.0,0.0,ARC_ARH,1,0.9999999990701631
aged,Glutamatergic_Neuron,Microglia,COL2A1_ITGA9_ITGB1,Col2a1  - (Itga9+Itgb1),Col2a1,ITGA9_ITGB1,COLLAGEN,0.0039802360640027,0.0,0.0,ARC_ARH,1,0.9999999997487585
aged,Glutamatergic_Neuron,Microglia,COL2A1_SDC4,Col2a1  - Sdc4,Col2a1,Sdc4,COLLAGEN,0.0011548874991506,0.0,0.0,ARC_ARH,1,0.9999999991341147
aged,Glutamatergic_Neuron,Microglia,COL4A1_ITGA9_ITGB1,Col4a1  - (Itga9+Itgb1),Col4a1,ITGA9_ITGB1,COLLAGEN,0.0,0.0,0.0020659382085237,PVN_PVH,1,0.9999999995159584
aged,Glutamatergic_Neuron,Microglia,COL4A1_SDC4,Col4a1  - Sdc4,Col4a1,Sdc4,COLLAGEN,0.0,0.0,0.0004746112257818,PVN_PVH,1,0.9999999978930123
