Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),23/273,2.681967028737415e-11,4.081953817738345e-08,0,0,6.459927797833935,157.2468229978315,GABRA1;SNAP25;SLC12A5;SYT1;STXBP1;GAD1;CACNA1B;GAD2;HTR2C;GRIN2B;CACNA1E;GABRG2;SYN1;GRIN1;RIT2;GRM7;KCNQ2;SLC17A6;ERC2;SNCB;SCN2B;GRIA4;SNCA
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),15/123,5.057005632908417e-10,3.848381286643306e-07,0,0,9.54775828460039,204.37049547293407,CLSTN2;SYT1;CLSTN3;CACNA1B;SNCAIP;GRM1;SYN1;BAIAP3;RIMS1;GRM5;RIMS3;GRM7;NRG3;NPTXR;GRIA4
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),16/174,8.686282031135561e-09,3.4339024418224204e-06,0,0,6.968087003030844,129.33829207806323,CAMK2B;KANK1;NDRG4;DCC;PTPRO;STMN2;SRCIN1;RIT2;LRRC7;DPYSL3;SPOCK1;ROR2;CSMD3;CTNNA2;PAK3;PPFIA2
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),17/199,9.024710753803996e-09,3.4339024418224204e-06,0,0,6.442084417349435,119.32865831106808,SNAP25;SLC12A5;SYT1;GAD1;CACNA1B;GAD2;HTR2C;GRIN2B;CACNA1E;SYN1;GRIN1;RIT2;GRM7;KCNQ2;SNCB;SCN2B;SNCA
GO_Biological_Process_2023,Synaptic Vesicle Endocytosis (GO:0048488),8/40,1.1833104113734703e-07,3.601996892220843e-05,0,0,16.839041095890412,268.57899595652185,SYT2;SYT1;ITSN1;SNCB;SH3GL2;DNM1;SNAP91;SNCA
GO_Biological_Process_2023,Monoatomic Cation Transmembrane Transport (GO:0098655),18/281,2.738166007084986e-07,6.945814437972248e-05,0,0,4.717336785049754,71.28276710519333,SLC24A4;SLC24A3;SLC6A17;KCNC1;KCNC2;KCNB2;ATP1A3;ATP1B1;GRIN2B;RYR3;SLC8A1;GRIN1;KCNQ2;KCNQ5;KCNN2;SCN2A;SCN2B;HCN1
GO_Biological_Process_2023,Synapse Organization (GO:0050808),12/131,6.741709945525734e-07,0.0001421765762061226,0,0,6.85609243697479,97.4235792927037,SDK1;LRFN5;GRM5;DSCAM;SPOCK2;TNC;ANK3;PAK3;SNCB;SHANK2;PPFIA2;SNCA
GO_Biological_Process_2023,Regulation Of Regulated Secretory Pathway (GO:1903305),7/35,7.473144610045867e-07,0.0001421765762061226,0,0,16.784982935153582,236.7820577966066,RPH3A;RIMS1;SYT4;RIMS3;SYT2;SYT1;SYN1
GO_Biological_Process_2023,Potassium Ion Transmembrane Transport (GO:0071805),12/137,1.0905098144118691e-06,0.0001844173263927628,0,0,6.525,89.58084576555494,SLC24A4;SLC24A3;SLC12A5;KCNC1;KCNC2;KCNB2;KCNQ2;ATP1A3;KCNQ5;KCNN2;ATP1B1;HCN1
GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),5/14,1.31600366830703e-06,0.00020029575831632997,0,0,37.08286252354049,502.1357387424407,SYT4;RIMS1;SYT2;RIMS3;SYT1
GO_Biological_Process_2023,Regulation Of Monoatomic Cation Transmembrane Transport (GO:1904062),7/39,1.6237588649994403e-06,0.0002246691811390135,0,0,14.68387372013652,195.7472964217075,DPP10;DPP6;KCNIP4;KCNN2;GRIN2B;GRIN1;HCN1
GO_Biological_Process_2023,Positive Regulation Of Synaptic Transmission (GO:0050806),9/77,2.2513688848641624e-06,0.0002708306986701148,0,0,8.929047907822923,116.11309017175807,RIMS1;RIMS3;CLSTN2;SYT1;CLSTN3;GRIN2B;SHANK2;BAIAP3;GRIN1
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),7/41,2.3132714078262104e-06,0.0002708306986701148,0,0,13.818711102188317,179.32331133768284,SNAP25;RIMS1;SYT4;RIMS3;SYT2;SYT1;SNCA
GO_Biological_Process_2023,Nervous System Development (GO:0007399),21/433,2.6721536996616974e-06,0.0002905012807775074,0,0,3.5237498695062115,45.21896342339051,HDAC4;TENM1;NRSN2;NRSN1;RBFOX3;DSCAM;MYT1L;ZBTB16;NRG1;MERTK;HPCAL4;NPAS2;SDK1;NELL1;SPOCK2;KCNQ2;SPOCK1;SCN2A;LY6H;SH3GL2;SHANK2
GO_Biological_Process_2023,Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),6/28,3.091253170822211e-06,0.0003074159623346658,0,0,18.25417439703154,231.58950566035327,RPH3A;SYT4;SYT2;SYT1;STXBP1;BAIAP3
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),7/43,3.231705254503714e-06,0.0003074159623346658,0,0,13.049677664012137,164.98055792507807,RPH3A;SNAP25;RIMS1;SYT1;STXBP1;SYN1;SNCA
