Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	25/172	1.024933e-17	1.453355e-14	0	0	1.209215e+01	4.730365e+02	PTPRT;ROBO2;CRB1;TENM2;NLGN1;CDH6;TRO;CDH4;CDH22;GPC4;KIRREL3;NTNG1;GRID2;DSCAM;CADM2;CNTN6;UNC5D;PTPRD;SDK1;CDH10;CDH13;DCHS1;CNTN4;DSCAML1;CDH18
GO_Biological_Process_2023	Axon Guidance (GO:0007411)	18/149	1.064739e-11	7.549003e-09	0	0	9.535001e+00	2.409085e+02	SEMA5A;ROBO2;SEMA6A;DSCAM;CNTN5;SEMA3C;UNC5B;CNTN6;DCC;SEMA6D;PTPRO;EFNA5;RELN;NFIB;SLIT1;TNR;CNTN4;DSCAML1
GO_Biological_Process_2023	Neuron Projection Guidance (GO:0097485)	16/124	5.582140e-11	2.174596e-08	0	0	1.022014e+01	2.412858e+02	SEMA5A;ROBO2;SEMA6A;DSCAM;CNTN5;SEMA3C;CNTN6;DCC;SEMA6D;PTPRO;EFNA5;RELN;SLIT1;TNR;CNTN4;DSCAML1
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	19/188	6.662962e-11	2.174596e-08	0	0	7.814210e+00	1.831016e+02	SEMA5A;NTNG1;ROBO2;SEMA6A;DSCAM;AUTS2;CNTN5;SEMA3C;CNTN6;DCC;SEMA6D;PTPRO;EFNA5;ISL1;RELN;SLIT1;TNR;CNTN4;DSCAML1
GO_Biological_Process_2023	Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	12/60	7.667829e-11	2.174596e-08	0	0	1.705903e+01	3.973287e+02	PTPRT;ROBO2;TRO;KIRREL3;SDK1;CDH4;DSCAM;CADM2;CNTN6;CDH13;CNTN4;DSCAML1
GO_Biological_Process_2023	Nervous System Development (GO:0007399)	28/433	9.581177e-11	2.264351e-08	0	0	4.904321e+00	1.131360e+02	ROBO2;SEMA5A;CHRM3;NLGN1;CHD7;GRIK1;EFNA5;NPAS2;RELN;ASIC2;KIRREL3;RBFOX1;MEF2C;MARCKSL1;SEMA6A;ADGRV1;DSCAM;CNTN6;ZBTB16;CABLES1;SOX11;NRG1;GFRA2;SDK1;IL1RAPL2;DCHS1;CNTN4;DSCAML1
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	10/51	3.684263e-09	7.463265e-07	0	0	1.653406e+01	3.210782e+02	ROBO2;PTPRD;GRID2;MEF2C;NLGN1;CUX2;CLSTN2;IL1RAPL2;SLIT1;GPC4
GO_Biological_Process_2023	Modulation Of Chemical Synaptic Transmission (GO:0050804)	14/123	4.808630e-09	8.523296e-07	0	0	8.798165e+00	1.685100e+02	GRIA1;MEF2C;GRID2;NLGN1;CLSTN2;SYT1;GRIK4;GRIK1;SYN3;SNCAIP;RELN;GRM8;DLGAP2;CNTNAP4
GO_Biological_Process_2023	Central Nervous System Development (GO:0007417)	19/283	6.068604e-08	9.561423e-06	0	0	4.977947e+00	8.272129e+01	ROBO2;MARCKSL1;CNTN5;CADM2;CNTN6;ZBTB16;CHD7;SOX11;GRIK1;NPAS2;AFF2;GRIN2A;RELN;NFIB;IL1RAPL2;CNTN4;ASIC2;DSCAML1;ADGRL2
GO_Biological_Process_2023	Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339)	8/38	7.723071e-08	1.057927e-05	0	0	1.796347e+01	2.941782e+02	CDH6;NLGN1;CDH4;CDH10;CDH22;CDH13;DCHS1;CDH18
