Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),25/172,1.0249328108868125e-17,1.4533547258374998e-14,0,0,12.092145949288806,473.0365210825123,PTPRT;ROBO2;CRB1;TENM2;NLGN1;CDH6;TRO;CDH4;CDH22;GPC4;KIRREL3;NTNG1;GRID2;DSCAM;CADM2;CNTN6;UNC5D;PTPRD;SDK1;CDH10;CDH13;DCHS1;CNTN4;DSCAML1;CDH18
GO_Biological_Process_2023,Axon Guidance (GO:0007411),18/149,1.0647394899331028e-11,7.549002983625698e-09,0,0,9.535000812083808,240.90852593193603,SEMA5A;ROBO2;SEMA6A;DSCAM;CNTN5;SEMA3C;UNC5B;CNTN6;DCC;SEMA6D;PTPRO;EFNA5;RELN;NFIB;SLIT1;TNR;CNTN4;DSCAML1
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),16/124,5.5821400114855076e-11,2.174596416448292e-08,0,0,10.220135628586332,241.28579012863503,SEMA5A;ROBO2;SEMA6A;DSCAM;CNTN5;SEMA3C;CNTN6;DCC;SEMA6D;PTPRO;EFNA5;RELN;SLIT1;TNR;CNTN4;DSCAML1
GO_Biological_Process_2023,Axonogenesis (GO:0007409),19/188,6.662962352211679e-11,2.174596416448292e-08,0,0,7.814209606435174,183.1015580261193,SEMA5A;NTNG1;ROBO2;SEMA6A;DSCAM;AUTS2;CNTN5;SEMA3C;CNTN6;DCC;SEMA6D;PTPRO;EFNA5;ISL1;RELN;SLIT1;TNR;CNTN4;DSCAML1
GO_Biological_Process_2023,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),12/60,7.667829395092706e-11,2.174596416448292e-08,0,0,17.05902777777778,397.3286813258059,PTPRT;ROBO2;TRO;KIRREL3;SDK1;CDH4;DSCAM;CADM2;CNTN6;CDH13;CNTN4;DSCAML1
GO_Biological_Process_2023,Nervous System Development (GO:0007399),28/433,9.581176586165164e-11,2.2643513998637013e-08,0,0,4.904320987654321,113.13599383539449,ROBO2;SEMA5A;CHRM3;NLGN1;CHD7;GRIK1;EFNA5;NPAS2;RELN;ASIC2;KIRREL3;RBFOX1;MEF2C;MARCKSL1;SEMA6A;ADGRV1;DSCAM;CNTN6;ZBTB16;CABLES1;SOX11;NRG1;GFRA2;SDK1;IL1RAPL2;DCHS1;CNTN4;DSCAML1
GO_Biological_Process_2023,Regulation Of Synapse Assembly (GO:0051963),10/51,3.684263233363948e-09,7.463264664157255e-07,0,0,16.534062237174094,321.0781831564037,ROBO2;PTPRD;GRID2;MEF2C;NLGN1;CUX2;CLSTN2;IL1RAPL2;SLIT1;GPC4
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),14/123,4.808629616337425e-09,8.523295994958085e-07,0,0,8.79816513761468,168.50996967811398,GRIA1;MEF2C;GRID2;NLGN1;CLSTN2;SYT1;GRIK4;GRIK1;SYN3;SNCAIP;RELN;GRM8;DLGAP2;CNTNAP4
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),19/283,6.068604325462508e-08,9.561423259450926e-06,0,0,4.977946727057048,82.72128906413137,ROBO2;MARCKSL1;CNTN5;CADM2;CNTN6;ZBTB16;CHD7;SOX11;GRIK1;NPAS2;AFF2;GRIN2A;RELN;NFIB;IL1RAPL2;CNTN4;ASIC2;DSCAML1;ADGRL2
GO_Biological_Process_2023,Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339),8/38,7.723070792510996e-08,1.0579273839462514e-05,0,0,17.963470319634702,294.17820921650605,CDH6;NLGN1;CDH4;CDH10;CDH22;CDH13;DCHS1;CDH18
