Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),21/85,4.5259275690056164e-20,5.3360686038576205e-17,0,0,23.093413978494624,1028.6240584270884,NDUFB8;NDUFA7;SURF1;NDUFB7;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA1;NDUFC2;MTFR1L;COX5A;COX6B1;NDUFS7;BLOC1S1;UQCRQ;CYCS;SDHAF4;NDUFV3
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),16/59,2.7027371066951475e-16,1.5932635243967897e-13,0,0,25.754339993449065,923.218310656904,NDUFB8;NDUFA7;SURF1;NDUFB7;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA1;NDUFC2;MTFR1L;NDUFS7;BLOC1S1;NDUFV3
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),16/70,5.269047860073241e-15,2.0707358090087838e-12,0,0,20.49660928534168,673.8655214907128,NDUFB8;NDUFA7;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFA3;NDUFA1;NDUFC2;SDHD;COX5A;COX6B1;NDUFS7;UQCRQ;CYCS;NDUFV3
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),14/53,3.0658266356680216e-14,9.036524008631494e-12,0,0,24.67760444683521,767.8652322480298,NDUFB8;NDUFA7;NDUFB7;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA1;NDUFC2;SDHD;NDUFS7;NDUFV3
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),15/68,6.702417668182324e-14,1.5804300861573917e-11,0,0,19.510427010923536,591.8238884559429,NDUFB8;NDUFA7;NDUFB7;NDUFB6;NDUFB4;NDUFA3;NDUFA1;NDUFC2;SDHD;COX5A;COX6B1;NDUFS7;UQCRQ;CYCS;NDUFV3
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),17/98,9.59515036796845e-14,1.8854470473058004e-11,0,0,14.549709898355363,436.12658666331646,NDUFA7;MRPS16;MRPS33;MRPS34;MRPS18A;MRPL17;MRPL28;MRPL14;MRPL12;MRPL23;MRPL34;MRPL43;MRPL11;MRPL30;MRPL41;MRPL20;CHCHD1
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),14/60,2.0136657129166283e-13,3.3231088305015535e-11,0,0,20.914867740954698,611.4179109971088,NDUFB8;NDUFA7;NDUFB7;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA1;NDUFC2;SDHD;NDUFS7;NDUFV3
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),17/103,2.2548660427491453e-13,3.3231088305015535e-11,0,0,13.700304051277838,398.9599184292051,NDUFA7;MRPS16;MRPS33;MRPS34;MRPS18A;MRPL17;MRPL28;MRPL14;MRPL12;MRPL23;MRPL34;MRPL43;MRPL11;MRPL30;MRPL41;MRPL20;CHCHD1
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),14/63,4.168862461372318e-13,5.4612098243977357e-11,0,0,19.63136863136863,559.6110678719308,NDUFB8;NDUFA7;NDUFB7;NDUFA11;NDUFB6;NDUFA12;NDUFB11;NDUFB4;NDUFA3;NDUFA1;NDUFC2;SDHD;NDUFS7;NDUFV3
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),15/90,5.146902167278811e-12,6.068197655221718e-10,0,0,13.771929824561404,357.9686226487264,NDUFB8;SURF1;NDUFB7;NDUFA11;NDUFB6;PET100;NDUFB11;UQCC2;NDUFB4;NDUFA3;NDUFA1;NDUFC2;NDUFS7;SDHAF1;SDHAF4
