Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Nervous System Development (GO:0007399),28/433,9.581176586165164e-11,1.2771708389358166e-07,0,0,4.904320987654321,113.13599383539449,ROBO2;SEMA5A;CHRM2;CHRM3;SHC3;GRIK1;LDB2;EFNA5;KALRN;NPAS2;ERBB4;SPOCK1;KIRREL3;RBFOX1;MEF2C;TRPC5;SEMA6A;CNTN6;ST8SIA2;DYRK1A;CRIM1;CABLES1;SDK1;NELL1;CNTN4;ERCC6;RBM45;SHANK2
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),14/123,4.808629616337425e-09,3.204951639288893e-06,0,0,8.79816513761468,168.50996967811398,GRIA1;MEF2C;GRID2;MCTP1;CLSTN2;GRID1;GRIK3;GRIK4;GRIK1;GRM5;GRM8;DLGAP2;DGKI;CNTNAP4
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),16/172,7.353245389370129e-09,3.267292034676794e-06,0,0,7.058143734200073,132.18579156929798,KIRREL3;ROBO2;TENM2;GRID2;TENM4;CADM2;CNTN6;UNC5D;CDH8;PTPRD;TRO;SDK1;CDH4;CDH13;CNTN4;NECTIN3
GO_Biological_Process_2023,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),10/60,1.9298421952755292e-08,6.431199115755702e-06,0,0,13.551724137931034,240.7225622701504,ROBO2;TRO;KIRREL3;SDK1;CDH4;CADM2;CNTN6;CDH13;CNTN4;NECTIN3
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),12/124,3.714700082011874e-07,9.903390418643656e-05,0,0,7.287202380952381,107.89284430725333,SEMA5A;ROBO2;NELL1;EPHA6;SEMA6A;CNTN5;SEMA3C;CNTN6;SLIT1;CNTN4;EFNA5;KALRN
GO_Biological_Process_2023,Glutamate Receptor Signaling Pathway (GO:0007215),7/35,7.473144610045867e-07,0.00016602836275318565,0,0,16.784982935153582,236.7820577966066,GRM5;GRID2;GRM8;GRIK3;GRIK4;GRIK1;PLCB1
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),17/273,8.744108334128928e-07,0.0001665128058484837,0,0,4.562555212014134,63.646347209102096,CHRM2;GRIA1;CHRM3;GRID2;KCND2;GRID1;GRIK3;GRIK4;GRIK1;HTR4;GABRG3;CACNA1E;CDH8;HCRTR2;KCNQ3;PLP1;DLGAP2
GO_Biological_Process_2023,Axonogenesis (GO:0007409),14/188,1.0034697950566411e-06,0.00016720315460131284,0,0,5.493207941483804,75.87244499828604,SEMA5A;ROBO2;EPHA6;SEMA6A;AUTS2;CNTN5;SEMA3C;CNTN6;EFNA5;KALRN;NELL1;SLIT1;CNTN4;CTNNA2
GO_Biological_Process_2023,"Synaptic Transmission, Glutamatergic (GO:0035249)",6/27,2.4596872509860963e-06,0.0003535854381755645,0,0,19.124392614188533,247.00064051375347,GRIA1;GRID2;GRID1;GRIK3;GRIK4;GRIK1
GO_Biological_Process_2023,Axon Guidance (GO:0007411),12/149,2.652553924797933e-06,0.0003535854381755645,0,0,5.949817518248175,76.3955833759012,SEMA5A;ROBO2;NELL1;EPHA6;SEMA6A;CNTN5;SEMA3C;CNTN6;SLIT1;CNTN4;EFNA5;KALRN
GO_Biological_Process_2023,Regulation Of Trans-Synaptic Signaling (GO:0099177),6/36,1.4448929654537762e-05,0.001750947566318,0,0,13.38095238095238,149.12924530468584,GRIA1;GRID2;GRID1;GRIK3;GRIK4;GRIK1
