Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),16/85,1.3660707670526846e-13,1.0483373162492151e-10,0,0,16.028577260665443,474.7931884067714,SURF1;NDUFB7;NDUFA11;NDUFB6;NDUFB4;NDUFA3;NDUFA1;NDUFC2;MTFR1L;COX5B;SIRT3;NDUFS7;BLOC1S1;NDUFAB1;SDHAF4;NDUFV3
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),14/59,1.5646825615659931e-13,1.0483373162492151e-10,0,0,21.38073038073038,630.4305748548034,SURF1;NDUFB7;NDUFA11;NDUFB6;NDUFB4;NDUFA3;NDUFA1;NDUFC2;MTFR1L;SIRT3;NDUFS7;BLOC1S1;NDUFAB1;NDUFV3
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),14/90,7.013731879805931e-11,3.13280023964665e-08,0,0,12.639676113360323,295.52278283052533,COX19;SURF1;NDUFB7;NDUFA11;NDUFB6;UQCC2;NDUFB4;NDUFA3;NDUFA1;NDUFC2;NDUFS7;SDHAF1;NDUFAB1;SDHAF4
GO_Biological_Process_2023,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),11/53,3.1370104812270216e-10,1.0508985112110522e-07,0,0,17.8149612786291,389.8373271268051,NDUFB7;NDUFA11;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2;SDHD;NDUFV3
GO_Biological_Process_2023,Proton Motive Force-Driven ATP Synthesis (GO:0015986),11/60,1.2849552569162254e-09,3.443680088535485e-07,0,0,15.264529341148224,312.5037171115689,NDUFB7;NDUFA11;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2;SDHD;NDUFV3
GO_Biological_Process_2023,Oxidative Phosphorylation (GO:0006119),11/63,2.2185758254550303e-09,4.954819343516233e-07,0,0,14.381687516635614,286.5752634094172,NDUFB7;NDUFA11;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2;SDHD;NDUFV3
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),11/68,5.167957103228394e-09,9.892946454751496e-07,0,0,13.116797183269592,250.27883115876423,NDUFB7;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2;SDHD;NDUFV3;COX5B
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),11/70,7.102900274367932e-09,1.1897357959566286e-06,0,0,12.670869743710046,237.74052153178616,NDUFB7;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2;SDHD;NDUFV3;COX5B
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",8/34,3.020590392407787e-08,4.497323473140483e-06,0,0,20.731296101159117,358.96712779696753,NDUFB7;NDUFB6;NDUFS7;NDUFB4;NDUFA3;NDUFAB1;NDUFC2;NDUFV3
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),9/53,8.472303198461667e-08,1.0320805714489664e-05,0,0,13.81630740393627,224.98306898420807,NDUFB7;NDUFA11;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),9/53,8.472303198461667e-08,1.0320805714489664e-05,0,0,13.81630740393627,224.98306898420807,NDUFB7;NDUFA11;NDUFS7;NDUFB6;NDUFB4;NDUFA3;NDUFAB1;NDUFA1;NDUFC2
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),9/66,5.966582917774217e-07,6.66268425818121e-05,0,0,10.658166033640804,152.75199640217912,PRDX3;PRDX5;JUN;GPX1;GSTP1;ROMO1;MPV17;MT3;MAPK3
