Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),15/174,6.06073889452068e-08,0.00010218405776161869,0,0,6.4683879510096,107.49716277041584,CAMK2B;NDRG4;NLGN1;DCC;KIDINS220;PTEN;SIPA1L1;RIT2;RTN4RL1;IL1RAPL1;RAPGEF1;ITGA6;CTNNA2;LRRC4C;ARSB
GO_Biological_Process_2023,Nervous System Development (GO:0007399),23/433,1.8039624090589654e-07,0.00015207403108367075,0,0,3.906577441225676,60.66176449294536,GPM6A;RBFOX1;NLGN1;NRXN1;APLP1;LSAMP;CRIM1;PTEN;FBXL17;CABLES1;NRG1;MSI2;DNM3;AHI1;FGF14;OPHN1;APC;SPOCK2;LY6H;ASIC2;FGF13;MDGA2;SOX4
GO_Biological_Process_2023,Synapse Assembly (GO:0007416),9/71,1.1243343525848568e-06,0.0005478978417432993,0,0,9.79614233455271,134.19068642997058,DNM3;PTPRD;GPM6A;GRID2;NLGN1;NRXN1;SPOCK2;PTEN;FGF13
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),10/95,1.629105932184713e-06,0.0005478978417432993,0,0,7.957403651115618,106.05213165812954,DNM3;TJP1;GPM6A;NLGN1;OPHN1;CTNND2;NRXN1;SPOCK2;PTEN;ITGA6
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),11/118,1.6605506014407524e-06,0.0005478978417432993,0,0,6.969666591210426,92.75484129651038,PTPRD;CAMK2B;TIAM1;NDRG4;NLGN1;RIT2;KIDINS220;IL1RAPL1;RAPGEF1;ITGA6;ARSB
GO_Biological_Process_2023,Presynapse Assembly (GO:0099054),5/15,1.9498143834281118e-06,0.0005478978417432993,0,0,33.3728813559322,438.7791811541471,PTPRD;NLGN1;PCLO;IL1RAPL1;PTEN
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),11/123,2.503018366545794e-06,0.0006028698522851727,0,0,6.656821552150272,85.85977230112672,GRIA2;GRID2;NLGN1;TRIO;OPHN1;SYT1;GRM7;NRG3;PTEN;GRIK2;LRRC4C
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),16/273,4.026883160618735e-06,0.0008486656261003984,0,0,4.262180084397436,52.947008351031045,GRIA2;SNAP25;GRID2;NLGN1;KCND2;SYT1;STXBP1;NRXN1;PTEN;GRIK2;RIT2;DLG2;FCHSD2;GRM7;PLP1;ASIC2
GO_Biological_Process_2023,Presynaptic Membrane Organization (GO:0097090),4/9,5.892106403209957e-06,0.0011037879328679,0,0,53.229729729729726,640.9869227750693,PTPRD;NLGN1;IL1RAPL1;PTEN
GO_Biological_Process_2023,Regulation Of Trans-Synaptic Signaling (GO:0099177),6/36,1.4448929654537762e-05,0.002436089539755,0,0,13.38095238095238,149.12924530468584,GRIA2;NLGN1;GRID2;NRG3;GRIK2;LRRC4C
GO_Biological_Process_2023,Synapse Organization (GO:0050808),10/131,2.8944375039588967e-05,0.0044363833015224,0,0,5.579652322599031,58.308118193954826,PTPRD;DNM3;GPM6A;NLGN1;CTNND2;NRXN1;SPOCK2;PTEN;ARHGAP39;LRRC4C
GO_Biological_Process_2023,Positive Regulation Of Cell Junction Assembly (GO:1901890),7/61,3.4746403123606554e-05,0.0045181393715984,0,0,8.691821514347112,89.2427080716037,PTPRD;CNTNAP2;GRID2;NLGN1;NRXN1;IL1RAPL1;NRG1
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),12/192,3.483737356511237e-05,0.0045181393715984,0,0,4.518518518518518,46.38177833042519,GPM6A;CNTNAP2;NLGN1;TRIO;OPHN1;GRM7;CTNND2;MAP1B;PTEN;PLP1;FRY;PPP1R9A
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),12/199,4.940851831906334e-05,0.0059501972775671,0,0,4.347816399286987,43.11028530398809,GRIA2;SNAP25;NLGN1;RIT2;DLG2;KCND2;SYT1;GRM7;NRXN1;PLP1;GRIK2;ASIC2
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),10/146,7.292516404344086e-05,0.0076896488744193,0,0,4.960446247464503,47.25359187956359,GPM6A;CNTNAP2;NLGN1;TRIO;DCC;CTNND2;MAP1B;APLP1;PTEN;CTNNA2
GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),8/92,7.297412929460853e-05,0.0076896488744193,0,0,6.397912589693411,60.942712236489065,CAMK2B;NDRG4;NLGN1;RIT2;KIDINS220;RAPGEF1;ITGA6;ARSB
GO_Biological_Process_2023,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),6/49,8.808952805813497e-05,0.0080409131665041,0,0,9.32937826293308,87.10986858643513,PTPRD;CD164;TENM2;GRID2;NLGN1;IL1RAPL1
