Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),17/93,3.8721672352391594e-14,7.422944589953468e-11,0,0,15.510879672679932,479.01283276170784,RPL41;RPL31;RPS5;RPL22;RPL10A;RPS26;RPL7A;RPS28;RPL36;RPL35;RPL38;RPL22L1;RPL37;RPL29;RPL39;UBA52;RPS21
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),21/183,5.378308432540941e-13,5.155108632590491e-10,0,0,9.077791052701446,256.45878381826697,EIF5A;RPL41;RPL31;RPS5;SLC11A1;RPL22;MRPS21;RPL10A;RPS26;MRPL52;RPL7A;RPS28;EEF1D;RPL36;RPL35;RPL38;RPL37;APOE;RPL29;RPL39;RPS21
GO_Biological_Process_2023,Translation (GO:0006412),22/234,8.498115764274862e-12,5.430295973371637e-09,0,0,7.27460295914212,185.43818910317668,EIF5A;RPL41;NDUFA7;RPL31;RPS5;RPL22;MRPS21;RPL10A;RPS26;MRPL52;RPL7A;RPS28;EEF1D;RPL36;RPL35;RPL38;RPL22L1;RPL37;RPL29;RPL39;UBA52;RPS21
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),17/158,2.5682839549976233e-10,1.230850085432611e-07,0,0,8.332781996341128,184.00959983732864,RPL41;RPL31;RPS5;RPL22;MRPS21;RPL10A;RPS26;MRPL52;RPL7A;RPS28;RPL36;RPL35;RPL38;RPL37;RPL29;RPL39;RPS21
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),12/68,3.5857569181147854e-10,1.348674015493406e-07,0,0,14.616071428571429,317.88320320687274,COX8A;NDUFA7;UQCRB;COX4I1;NDUFA2;NDUFA1;NDUFC2;COX6C;COX7C;COX5A;UQCRH;COX6B1
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),13/85,4.221201926426936e-10,1.348674015493406e-07,0,0,12.348238482384824,266.5457545226515,COX8A;NDUFA13;NDUFA7;UQCRB;COX4I1;NDUFA2;NDUFA1;NDUFC2;COX6C;COX7C;COX5A;UQCRH;COX6B1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),12/70,5.100625960134082e-10,1.3968428522252905e-07,0,0,14.110632183908049,301.9179674042865,COX8A;NDUFA7;UQCRB;COX4I1;NDUFA2;NDUFA1;NDUFC2;COX6C;COX7C;COX5A;UQCRH;COX6B1
GO_Biological_Process_2023,Gene Expression (GO:0010467),20/296,2.4311019329332552e-08,5.825528006791313e-06,0,0,5.026915113871636,88.13356541829789,RPL41;RPL31;RPS5;RPL22;MRPS21;RPL10A;RPS26;MRPL52;RBM3;RPL7A;RPS28;CASP4;RPL36;RPL35;RPL38;RPL37;RPL29;RPL39;RPS21;TGM2
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",6/16,7.64650259000401e-08,1.6287050516708538e-05,0,0,40.18367346938776,658.4670480229858,COX8A;COX4I1;COX6C;COX5A;COX7C;COX6B1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),17/236,1.1147868873563907e-07,2.137046463062201e-05,0,0,5.343546799619213,85.54715124726759,CEBPB;VCAM1;IL10RB;SLC11A1;C5AR1;ITGB2;CYBB;CYBA;TNF;IL1A;PRDX5;IL1B;CCL4;CCL3;CD14;FCGR2B;TLR2
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),8/43,2.145795006728076e-07,3.739535479907019e-05,0,0,15.393346379647747,236.3584536521561,COX8A;UQCRB;COX4I1;COX6C;COX5A;COX7C;UQCRH;COX6B1
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),6/25,1.5092357717772302e-06,0.0002411004145414125,0,0,21.13963480128894,283.35370199079733,GRN;NDUFA13;CTSL;PSME1;CTSH;TANK
GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),8/58,2.334069188258393e-06,0.00034418543337625686,0,0,10.767123287671232,139.6269498819992,FCER1G;SLC11A1;IL1B;CYBA;FCGR2B;TNF;TGM2;TLR2
GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),8/59,2.6653718137102605e-06,0.0003575831362888656,0,0,10.555466022025248,135.48116907887038,NDUFA13;CTSL;IL1B;CTSH;APOE;TNF;TANK;CTSC
GO_Biological_Process_2023,Positive Regulation Of Endocytosis (GO:0045807),9/79,2.79799011180646e-06,0.0003575831362888656,0,0,8.673048600883652,110.8988831686998,FCER1G;AXL;SLC11A1;IL1B;CYBA;APOE;FCGR2B;TNF;B2M
