Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),25/93,1.111137846605373e-24,1.4411457870471693e-21,0,0,26.245989304812834,1447.6410468903828,RPL4;RPL5;RPL3;RPL12;RPLP0;RPL11;RPL7;RPS4X;RPS14;RPS16;RPL18A;RACK1;RPL13;RPL15;RPS2;RPS11;RPS10;RPL17;RPS7;RPS8;RPS5;RPS6;RPL13A;RPL26;RPL29
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),26/158,8.925142980436411e-20,5.787955222813012e-17,0,0,14.066799380667996,617.0096230155278,RPL4;RPL5;RPL3;RPL12;RPLP0;RPL11;PCSK5;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL13;RPL15;RPS2;RPS11;RPS10;RPL17;RPS7;RPS8;RPS5;RPS6;RPL13A;EEF1A2;RPL26;RPL29
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),26/183,3.9828517110446186e-18,1.7219195564082897e-15,0,0,11.8117532195825,473.2323837509671,RPL4;RPL5;RPL3;RPL12;RPLP0;RPL11;RPL7;EEF1B2;RPS4X;RPS14;RPS16;RPL18A;RPL13;RPL15;RPS2;RPS11;RPS10;RPL17;RPS7;RPS8;RPS5;RPS6;RPL13A;EEF1A2;RPL26;RPL29
GO_Biological_Process_2023,Translation (GO:0006412),27/234,1.9762637780324287e-16,6.408035300270151e-14,0,0,9.313425704730053,336.77490222383415,RPL4;RPL5;RPL3;RPL12;RPLP0;RPL11;RPL7;EEF1B2;RPS4X;RPS14;RPS16;RPL18A;RACK1;RPL13;RPL15;RPS2;RPS11;RPS10;RPL17;RPS7;RPS8;RPS5;RPS6;RPL13A;EEF1A2;RPL26;RPL29
GO_Biological_Process_2023,Gene Expression (GO:0010467),25/296,3.363692582204436e-12,8.725418558238305e-10,0,0,6.517611539751761,172.18214279283436,RPL4;RPL5;RPL3;RPL12;RPLP0;RPL11;RPL7;RPS4X;RPS14;RPS16;RPL18A;RPL13;RPL15;RPS2;RPS11;RPS10;RPL17;RPS7;RPS8;RPS5;RPS6;RPL13A;EEF1A2;RPL26;RPL29
GO_Biological_Process_2023,Axonogenesis (GO:0007409),15/188,1.6812888601937992e-07,3.6343860861189294e-05,0,0,5.940675387891695,92.66583280119475,EPHA5;SEMA5B;TRIO;AUTS2;CNTN5;DCC;SEMA6D;PTPRO;NRXN3;ANK3;KALRN;PALLD;TNR;ULK2;CTNNA2
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),12/118,2.155836584212531e-07,3.994457213890932e-05,0,0,7.702044025157233,118.22573494994457,RPS4X;RPL5;RPS14;RPS16;RPS7;RPS8;RPS5;RPS6;RPL11;RPL26;RPS11;RPL7
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),14/174,3.931966012334729e-07,5.846084592516363e-05,0,0,5.978146853146853,88.17142545201477,TENM3;DCC;NTRK3;PTPRO;STMN2;SEZ6;SRCIN1;RIT2;NCS1;TNR;SPOCK1;CSMD3;CTNNA2;TOX
GO_Biological_Process_2023,Axon Guidance (GO:0007411),13/149,4.056650835207962e-07,5.846084592516363e-05,0,0,6.515986882557901,95.90058732677116,EPHA5;SEMA5B;TRIO;CNTN5;DCC;SEMA6D;PTPRO;NRXN3;PTPRM;KALRN;NTN1;PALLD;TNR
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),11/124,2.7105159287531875e-06,0.0003515539159592884,0,0,6.59757479254065,84.5701650960925,EPHA5;SEMA5B;TRIO;CNTN5;DCC;PALLD;SEMA6D;PTPRO;NRXN3;TNR;KALRN
