Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,"Synaptic Transmission, Glutamatergic (GO:0035249)",5/27,1.6162104052563185e-05,0.0251917585192341,0,0,18.92596854622171,208.80720764777368,GRIA1;GRIA2;GRID2;GRIN3A;GRIK3
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),8/105,4.157570922187832e-05,0.0251917585192341,0,0,6.929597321349899,69.90573948604414,CNTFR;GRID2;UBB;MDK;BCL2;APOE;CLU;MT3
GO_Biological_Process_2023,Glutamate Receptor Signaling Pathway (GO:0007215),5/35,6.0060977112304985e-05,0.0251917585192341,0,0,13.873417721518988,134.8517044096125,GRIA2;GRID2;GRIN3A;GRIK3;PLCB1
GO_Biological_Process_2023,Regulation Of Trans-Synaptic Signaling (GO:0099177),5/36,6.906458044619785e-05,0.0251917585192341,0,0,13.425207567714711,128.6197787803405,GRIA1;GRIA2;GRID2;GRIN3A;GRIK3
GO_Biological_Process_2023,Regulation Of Tissue Remodeling (GO:0034103),4/19,7.025030261916935e-05,0.0251917585192341,0,0,22.121008403361344,211.5530680483729,CST3;IL15;MDK;IL18
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),12/273,0.00013044263653566045,0.0389806078847398,0,0,3.8974512743628185,34.86105300630197,GRIA1;GABBR2;CACNB2;GRIA2;GRID2;GRIN3A;DLG2;GLRB;GRIK3;SLC1A2;SLC1A3;APOE
GO_Biological_Process_2023,Monocarboxylic Acid Metabolic Process (GO:0032787),7/97,0.00017740463664741145,0.0454409305012583,0,0,6.509503546099291,56.22308564913886,LDHB;NAAA;ME1;TSPO;ABAT;ME3;ACSL3
GO_Biological_Process_2023,Nervous System Development (GO:0007399),15/433,0.0002718325014094045,0.0547649420997315,0,0,3.0573530341673165,25.10186047569801,LGI1;CNTFR;FARP1;MARCKSL1;GSN;FZD5;GSTP1;LPAR1;CABLES1;PTN;GLRB;MDK;ADAM23;NRCAM;MDGA2
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),6/74,0.000274893741716444,0.0547649420997315,0,0,7.361665004985045,60.35921842096322,CNTFR;MDK;BCL2;APOE;CLU;MT3
GO_Biological_Process_2023,Negative Regulation Of Metabolic Process (GO:0009892),5/53,0.00044484374108061386,0.0739441830015685,0,0,8.662974683544304,66.85899756176585,IL15;GSTP1;PLCL1;NR1D1;LGR4
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),14/406,0.0004536452944881506,0.0739441830015685,0,0,3.033521303258145,23.35263839251295,CPNE8;GSTP1;HMGB2;NR1D1;RORB;CLU;MT3;CPEB1;DLG2;SIRPA;ROMO1;MPV17;SOX9;CPEB3
GO_Biological_Process_2023,Negative Regulation Of Neuron Death (GO:1901215),6/88,0.0006988563202867772,0.1037955421779566,0,0,6.100454733360893,44.32630298447,CNTFR;MDK;BCL2;APOE;CLU;MT3
GO_Biological_Process_2023,Organonitrogen Compound Biosynthetic Process (GO:1901566),7/123,0.000752561097776596,0.1037955421779566,0,0,5.0438004402054295,36.27515586653819,PCYT1B;GSTM1;GSTP1;APOE;KDSR;PAM;GPHN
GO_Biological_Process_2023,Regulation Of Axon Extension (GO:0030516),4/35,0.0008153522487839737,0.1044233272906903,0,0,10.695039306045,76.06194663033808,MAP2;NRCAM;APOE;MT3
GO_Biological_Process_2023,Regulation Of Ossification (GO:0030278),4/37,0.0010091925388155,0.116292190240862,0,0,10.045836516424751,69.3022553531355,MDK;S1PR1;PTN;SOX9
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),5/66,0.0012198599348997,0.116292190240862,0,0,6.812270872241821,45.703656311043694,GSTP1;ROMO1;MPV17;APOE;MT3
GO_Biological_Process_2023,Regulation Of Circadian Sleep/Wake Cycle (GO:0042749),2/5,0.0014234072708723,0.116292190240862,0,0,54.875,359.68926100118176,PER3;NR1D1
GO_Biological_Process_2023,L-aspartate Import Across Plasma Membrane (GO:0140009),2/5,0.0014234072708723,0.116292190240862,0,0,54.875,359.68926100118176,SLC1A2;SLC1A3
GO_Biological_Process_2023,L-aspartate Transmembrane Transport (GO:0070778),2/5,0.0014234072708723,0.116292190240862,0,0,54.875,359.68926100118176,SLC1A2;SLC1A3
GO_Biological_Process_2023,Regulation Of Hepatocyte Proliferation (GO:2000345),2/5,0.0014234072708723,0.116292190240862,0,0,54.875,359.68926100118176,MDK;PTN
GO_Biological_Process_2023,Leukocyte Chemotaxis Involved In Inflammatory Response (GO:0002232),2/5,0.0014234072708723,0.116292190240862,0,0,54.875,359.68926100118176,MDK;PTN
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),5/70,0.0015887508417444,0.116292190240862,0,0,6.391755923401493,41.19363463186325,STAT1;SOX9;APOE;MCC;B2M
GO_Biological_Process_2023,Glutamate Metabolic Process (GO:0006536),3/20,0.0017129332509558,0.116292190240862,0,0,14.576175239970466,92.84364823464004,GCLC;OAT;GCLM
GO_Biological_Process_2023,Negative Regulation Of Viral Life Cycle (GO:1903901),3/20,0.0017129332509558,0.116292190240862,0,0,14.576175239970466,92.84364823464004,BST2;GSN;PPIA
GO_Biological_Process_2023,Positive Regulation Of Protein Processing (GO:0010954),3/20,0.0017129332509558,0.116292190240862,0,0,14.576175239970466,92.84364823464004,CCBE1;GSN;PLGRKT
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),5/73,0.001914851750179,0.116292190240862,0,0,6.108835939439067,38.22979827961769,SIRPA;ROMO1;MPV17;CLU;MT3
