Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),70/93,1.0498502699064873e-110,1.2661194255072236e-107,0,0,260.3761814744802,65936.54787939787,RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RACK1;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),71/158,1.6336953836884363e-88,9.851183163641273e-86,0,0,69.89524669979421,14128.390573455034,RPL4;RPL5;RPL3;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;MRPL43;MRPL52;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),73/183,2.754611027877524e-86,1.1073536332067649e-83,0,0,57.2715258309972,11283.008423671416,RPL4;RPL5;RPL3;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;MRPL43;EEF1G;MRPL52;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),78/234,4.889277939440195e-85,1.4741172987412187e-82,0,0,44.01801801801802,8545.336170267654,RPL4;RPL5;RPL3;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RACK1;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;MRPS24;RPS7;RPS8;RPS5;RPS6;RPL13A;MRPL43;MRPL52;EEF1G;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;MRPL20;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;NDUFA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),71/296,1.1767990509408276e-65,2.838439310869276e-63,0,0,26.836001940805435,4012.1227218961326,RPL4;RPL5;RPL3;RPL32;RPL31;MRPS14;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;MRPL43;MRPL52;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),24/85,2.622614530912137e-24,5.271455207133396e-22,0,0,27.995723449750532,1520.108166403338,COX8A;COX7B;NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFB11;NDUFA4;COX4I1;NDUFB4;NDUFA3;NDUFA2;NDUFC2;COX7A2;UQCR11;MTFR1L;COX5B;COX6C;COX7C;MTLN;UQCRH;NDUFAB1
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),25/118,6.910772601814316e-22,1.1906273939697232e-19,0,0,19.166177908113397,933.8488390950976,RPL5;RPL11;RPL7;RPS4X;RPS14;RPS17;RPS16;RPS15A;RPS19;RPL14;RPL38;RPS11;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS25;RPS28;RPS27;RPL26;RPS24;RPS23
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),20/68,7.559733600501239e-21,1.1396298402755618e-18,0,0,29.24404761904762,1354.9191593425635,COX8A;COX7B;NDUFA7;NDUFB7;NDUFB10;UQCRB;UQCC3;NDUFA4;COX4I1;NDUFB4;NDUFA3;NDUFA2;NDUFC2;COX7A2;UQCR11;COX5B;COX6C;COX7C;UQCRH;NDUFAB1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),20/70,1.4508413074736332e-20,1.9441273520146685e-18,0,0,28.071428571428573,1282.2904568603317,COX8A;COX7B;NDUFA7;NDUFB7;NDUFB10;UQCRB;UQCC3;NDUFA4;COX4I1;NDUFB4;NDUFA3;NDUFA2;NDUFC2;COX7A2;UQCR11;COX5B;COX6C;COX7C;UQCRH;NDUFAB1
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),25/155,7.709364815045766e-19,9.297493966945193e-17,0,0,13.685314685314683,570.769053517046,RPL5;RPL11;RPL7;RPS4X;RPS14;RPS17;RPS16;RPS15A;RPS19;RPL14;RPS11;RPS13;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPS25;RPS28;RPS27;RPL27;RPL26;RPS24;RPS23
