Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),23/273,1.5491125911339848e-11,2.929371909834365e-08,0,0,6.654780669144982,165.64250708098817,GRIA1;GABBR2;GRIA2;SNAP25;GABRB1;GRID2;DTNA;KCND2;SYT1;STXBP1;NRXN1;GRIK3;SLC1A2;SLC1A3;GRIK2;CACNB2;GRIN3A;RIT2;DLG2;GLRB;PENK;DLGAP1;APOE
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),18/199,8.504102916674034e-10,5.376326111228417e-07,0,0,7.087268621204178,148.01974683305298,GRIA1;GABBR2;GRIA2;SNAP25;GABRB1;DTNA;KCND2;SYT1;NRXN1;SLC1A2;SLC1A3;GRIK2;CACNB2;RIT2;DLG2;GLRB;PENK;DLGAP1
GO_Biological_Process_2023,Synapse Organization (GO:0050808),15/131,8.529338092906002e-10,5.376326111228417e-07,0,0,9.146022656541763,190.9903471612346,KIRREL3;GPM6A;CTNND2;NRXN1;ANK3;CX3CL1;GPHN;DNM3;CACNB2;GRM5;NRCAM;MAPT;LRRC4C;PAK3;PDZRN3
GO_Biological_Process_2023,Regulation Of Epithelial Cell Migration (GO:0010632),9/50,3.9518044982932896e-08,1.505491465794584e-05,0,0,15.254934068775317,260.0433622687663,MACF1;PRKCE;PTN;MCC;DOCK1;RREB1;SASH1;PTPRG;CLASP2
GO_Biological_Process_2023,Regulation Of Trans-Synaptic Signaling (GO:0099177),8/36,3.980675478039619e-08,1.505491465794584e-05,0,0,19.798792756539235,337.3561680768773,GRIA1;GRIA2;GRID2;GRIN3A;NRG3;GRIK3;GRIK2;LRRC4C
GO_Biological_Process_2023,Nervous System Development (GO:0007399),23/433,1.1085333403227245e-07,3.493727577583786e-05,0,0,4.024426511923112,64.45142329835642,PRKN;KIRREL3;LGI1;CNTFR;GPM6A;GSN;MYT1L;NRXN1;LSAMP;FBXL17;PTN;NAV2;ARHGAP26;ROBO1;DNM3;FGF14;GLRB;MDK;ERBB4;ADAM23;NRCAM;MDGA2;BRINP3
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),12/123,2.546092488864665e-07,6.878086994918687e-05,0,0,7.566409266409266,114.8848461582657,GRIA1;LGI1;GRIA2;GRM5;GRID2;GRIN3A;SYT1;NRG3;GRIK3;DLGAP1;GRIK2;LRRC4C
GO_Biological_Process_2023,Glutamate Receptor Signaling Pathway (GO:0007215),7/35,6.234164015093813e-07,0.00014736005190678,0,0,17.263157894736842,246.65688318645957,GRIA2;GRM5;GRID2;GRIN3A;GRIK3;GRIK2;PLCB1
GO_Biological_Process_2023,"Synaptic Transmission, Glutamatergic (GO:0035249)",6/27,2.10376706462319e-06,0.0004420248354669392,0,0,19.667332667332666,257.0870650871515,GRIA1;GRIA2;GRID2;GRIN3A;GRIK3;GRIK2
GO_Biological_Process_2023,Central Nervous System Neuron Differentiation (GO:0021953),6/31,4.982142538111762e-06,0.000942123153956934,0,0,16.517202797202795,201.6692739020644,GRID2;MAP2;FAIM2;MAPT;MDGA2;BRINP3
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),10/135,2.9822662598349764e-05,0.0051267868157708,0,0,5.555460992907801,57.88924776544806,PRKN;CPNE8;SYT4;CAMK2D;DLG2;SYT1;ANK3;CLU;B2M;GPLD1
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),9/118,5.934668663072743e-05,0.0093520487015587,0,0,5.718254611469511,55.65070728140276,RIT2;FUT9;MDK;IL1RAPL1;PRKD1;APOE;PTN;CX3CL1;ROBO1
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),8/95,7.596817684646175e-05,0.0106362468092517,0,0,6.352922130484054,60.25871177777989,NELL2;PRKCE;PRKD1;DOCK1;RREB1;GPLD1;SASH1;CLASP2
GO_Biological_Process_2023,Synapse Assembly (GO:0007416),7/71,7.874534919594108e-05,0.0106362468092517,0,0,7.538815789473684,71.23646675206118,KIRREL3;DNM3;GPM6A;GRID2;NRXN1;NRCAM;SRGAP3
GO_Biological_Process_2023,Negative Regulation Of Neuron Apoptotic Process (GO:0043524),7/74,0.00010266251100199716,0.0125918478688592,0,0,7.200157109190887,66.12670040125754,PRKN;CNTFR;MDK;BCL2;APOE;CLU;CX3CL1
GO_Biological_Process_2023,Neurotransmitter Transport (GO:0006836),6/52,0.00010654128286713296,0.0125918478688592,0,0,8.967163271511097,82.02244530474215,SNAP25;SYT1;NRXN1;STXBP1;SLC1A2;SLC1A3
GO_Biological_Process_2023,Dendrite Morphogenesis (GO:0048813),5/35,0.00014532377284338246,0.0152670696914909,0,0,11.427409988385598,100.97883846431908,MAP2;CTNND2;PHACTR1;PTN;PAK3
GO_Biological_Process_2023,Regulation Of Axon Extension (GO:0030516),5/35,0.00014532377284338246,0.0152670696914909,0,0,11.427409988385598,100.97883846431908,MACF1;MAP2;NRCAM;APOE;MAPT
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),8/105,0.00015370313485853307,0.0152975067377624,0,0,5.695077682590387,50.00555846998166,PRKN;CNTFR;GRID2;MDK;BCL2;FAIM2;APOE;CLU
