gene,log2FC,aged_mean,adult_mean,p_value
Spp1,3.2345057,0.27649942,0.02937624,0.010265933
Cst7,1.9183153,0.6877024,0.1819398,0.00036655378
Il1b,1.499832,1.9983022,0.7065878,6.9625e-08
Lpl,0.7233484,0.8463622,0.51263213,0.07995056
Cd68,0.5732569,4.499901,3.0243726,2.8240565e-08
Apoe,0.5011882,3.9496531,2.7905264,0.0009201618
Cd74,0.39089277,2.5203316,1.9221488,0.02049296
Tnf,0.37882853,7.2345815,5.5638394,2.427228e-08
Ccl2,0.3115805,1.7372336,1.3997899,0.12253777
Clu,0.2589323,0.71509933,0.5976119,0.39454645
Aif1,0.19883543,7.648571,6.6638436,3.129342e-08
Trem2,0.1389211,9.151777,8.3116255,8.1163787e-13
Tyrobp,0.110030495,9.823481,9.102126,2.0072494e-17
App,0.102585435,5.9216247,5.5151777,0.5817556
C1qb,0.07606824,11.151657,10.578901,2.8268314e-22
C1qc,0.06998447,11.212302,10.681379,7.53642e-35
C1qa,0.06234841,11.432466,10.9489155,6.576011e-28
Cd33,0.0502866,6.400282,6.1810355,0.24132289
Cx3cr1,-0.003975606,12.080047,12.11338,0.636682
P2ry12,-0.055786066,10.336501,10.7440195,1.3754233e-05
Psen1,-0.06465885,2.6312451,2.7518542,0.4553339
Tmem119,-0.1071465,9.355849,10.077145,4.7345423e-11
Adam10,-0.12633868,6.065503,6.6206174,0.0011096967
Bace1,-0.13814561,0.8079971,0.88919145,0.5666082
