donor_label,age_group,sex_group,region_label_final,score_Homeostatic,score_DAM_lipid,score_Interferon,score_Inflammatory,score_Phagolysosomal,score_Proliferative,score_Glycolysis,score_OXPHOS,score_TCA,score_FAO,score_Cholesterol_lipid,score_MTOR_AMPK,score_ROS_glutathione,score_Complement,score_TGFB,score_APOE_TREM2
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,ARC_ARH,-0.3608748,0.0033501515,0.7448224,0.3418328,0.26834413,-0.13455775,0.032689314,-0.10134818,-0.16570139,-0.017434606,0.017841792,0.08712361,0.07636848,0.38134542,0.02214375,0.077140294
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Ambiguous,-0.107482955,0.25800574,-0.030334577,0.35634887,0.50659645,-0.0016603573,0.1509924,0.053763777,0.030320266,-0.1029071,0.28536078,0.044472944,0.40225217,0.38442102,0.044535335,0.33743528
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,DMH,-0.30819294,0.3418568,0.8050718,0.6055465,0.5965928,0.13088855,0.13688198,0.03949115,-0.17639673,0.19839416,0.20867583,-0.1950295,-0.098467864,0.47161365,0.070143275,0.31832477
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,PVN_PVH,-0.311863,0.25331467,-0.008815176,0.25214258,0.3495667,0.038984146,0.21693349,-0.014306973,-0.114123955,0.047854852,0.23200637,-0.064308085,0.2907024,0.32723078,0.03190254,0.26981592
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,ARC_ARH,-0.22812317,-0.12310149,0.032511473,-0.009253013,-0.25556612,0.075661205,0.35623688,0.33949074,0.19174485,0.07686778,0.005591769,0.018775571,0.022969099,-0.40076527,-0.123641096,-0.13332283
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Ambiguous,0.0024865847,-0.32651523,-0.060325213,-0.22449112,-0.38919798,-0.019080708,0.09646153,-0.04951121,0.26533818,-0.17177978,-0.1589723,0.0021833181,-0.07460652,-0.45463818,0.043042224,-0.3268705
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,DMH,0.07218027,-0.19453359,-0.0076590898,-0.049671404,-0.33056575,-0.00662875,0.04674288,0.37090918,0.21295244,-0.028996104,-0.0021125989,0.046769112,-0.03251514,-0.4295806,-0.14500184,-0.1712544
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,PVN_PVH,0.042226143,-0.12929063,0.043628126,-0.122649014,-0.26843336,0.110228054,0.06640949,0.051921334,0.1925366,0.04239207,-0.10059682,-0.009150165,-0.10274409,-0.370507,-0.2352242,-0.14123121
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,ARC_ARH,-1.160909,-0.5696667,-0.4983286,0.040586744,-0.7331746,-0.97200996,-0.3219697,0.34245577,-0.6522448,-0.27893713,0.110071816,-0.0064859325,0.3895012,-0.6318508,1.186707,-0.5011738
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Ambiguous,-1.6567532,-1.1909746,0.1649323,0.106072426,-1.2617464,0.5817316,1.1068358,-0.10374966,-0.9605341,2.0188277,-0.6191503,0.5757527,0.3143859,-1.7694602,-0.3588207,-1.3645695
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,PVN_PVH,-0.27145723,0.05907777,0.08732523,0.7144755,0.07134699,0.09765981,0.53627014,0.38598529,-0.16203284,0.084060766,-0.49913234,-0.079235666,0.29408917,-0.076504104,-0.02198065,0.0008422627
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,ARC_ARH,-0.26406497,0.21328406,0.26080662,0.4161079,0.52598584,0.06396117,0.22079036,0.19860728,0.35282892,0.33404967,0.030909393,-0.6212998,0.57345724,0.46944237,-0.0946687,0.18773572
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,Ambiguous,-0.18414119,0.41937187,-0.13455597,0.3631585,0.6086069,0.08418144,0.23305039,0.35939023,0.067947485,-0.20667908,0.4192835,-0.13573225,0.3962494,0.35582048,-0.14166781,0.44309035
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,DMH,0.35351944,0.52911156,-0.027910365,-0.1953306,0.96067345,-0.24549182,0.21834393,-0.06729594,0.14885858,-0.19245288,0.4399444,-0.19626492,0.051918253,0.5696436,0.05687205,0.70267594
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,PVN_PVH,-0.020507539,0.311454,-0.021172058,0.32508808,0.449701,0.060909495,0.14328833,0.020186812,-0.10330804,-0.010035386,0.17243879,-0.20069784,0.30054915,0.4204003,-0.11825122,0.29076007
