donor_label,age_group,sex_group,region_label_final,microglia_state,n_cells
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,ARC_ARH,DAM_lipid,3
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,ARC_ARH,Homeostatic,5
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,ARC_ARH,Inflammatory,13
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Ambiguous,DAM_lipid,5
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Ambiguous,Homeostatic,10
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Ambiguous,Inflammatory,31
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,DMH,DAM_lipid,3
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,DMH,Homeostatic,1
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,DMH,Inflammatory,10
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,PVN_PVH,DAM_lipid,59
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,PVN_PVH,Homeostatic,116
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,PVN_PVH,Inflammatory,279
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,ARC_ARH,DAM_lipid,1
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,ARC_ARH,Homeostatic,27
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,ARC_ARH,Inflammatory,43
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Ambiguous,DAM_lipid,1
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Ambiguous,Homeostatic,42
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Ambiguous,Inflammatory,36
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,DMH,Homeostatic,25
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,DMH,Inflammatory,32
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,PVN_PVH,DAM_lipid,4
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,PVN_PVH,Homeostatic,167
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,PVN_PVH,Inflammatory,200
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,ARC_ARH,Inflammatory,1
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Ambiguous,Homeostatic,1
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Ambiguous,Inflammatory,2
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,PVN_PVH,DAM_lipid,1
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,PVN_PVH,Inflammatory,16
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,ARC_ARH,DAM_lipid,2
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,ARC_ARH,Homeostatic,4
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,ARC_ARH,Inflammatory,14
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,Ambiguous,DAM_lipid,8
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,Ambiguous,Homeostatic,10
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,Ambiguous,Inflammatory,24
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,DMH,DAM_lipid,2
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,DMH,Homeostatic,5
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,DMH,Inflammatory,8
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,PVN_PVH,DAM_lipid,81
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,PVN_PVH,Homeostatic,169
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,PVN_PVH,Inflammatory,507
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,ARC_ARH,DAM_lipid,5
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,ARC_ARH,Homeostatic,48
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,ARC_ARH,Inflammatory,38
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Ambiguous,DAM_lipid,2
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Ambiguous,Homeostatic,37
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,Ambiguous,Inflammatory,30
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,DMH,DAM_lipid,2
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,DMH,Homeostatic,26
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,DMH,Inflammatory,26
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,PVN_PVH,DAM_lipid,6
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,PVN_PVH,Homeostatic,244
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,PVN_PVH,Inflammatory,165
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,ARC_ARH,Homeostatic,5
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,ARC_ARH,Inflammatory,8
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Ambiguous,Homeostatic,11
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,Ambiguous,Inflammatory,19
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,DMH,Homeostatic,12
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,DMH,Inflammatory,10
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,PVN_PVH,DAM_lipid,2
