donor_label,age_group,sex_group,cell_type_major,n_cells
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Astrocyte,3865
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,BAM,17
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,COP,11
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Dendritic_Cell,2
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Dopaminergic_Neuron,1
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Endothelial,165
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Ependymal,47
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,GABAergic_Neuron,1037
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Glutamatergic_Neuron,1018
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,MFOL,11
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,MOL,820
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Microglia,535
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,OPC,652
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Pericyte,112
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,SMC,84
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,T_cell,2
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,Tanycyte,114
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,VLMC,34
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Astrocyte,4002
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,BAM,27
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,COP,23
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Dendritic_Cell,3
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Dopaminergic_Neuron,2
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Endothelial,600
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Ependymal,96
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,GABAergic_Neuron,2525
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Glutamatergic_Neuron,2618
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,MFOL,18
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,MOL,1719
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Microglia,578
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,NFOL,2
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,OPC,805
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Pericyte,262
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,SMC,168
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,T_cell,5
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,Tanycyte,308
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,VLMC,39
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Astrocyte,149
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,BAM,1
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,COP,5
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Dopaminergic_Neuron,5
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Endothelial,50
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Ependymal,11
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,GABAergic_Neuron,3740
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Glutamatergic_Neuron,4084
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,MFOL,4
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,MOL,224
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,Microglia,21
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,NFOL,2
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,OPC,524
