donor_label,age_group,sex_group,n_cells,median_counts,median_genes,median_mt
Snap25-IRES2-Cre;Ai14-452716,Aged(18m),Female,8527,10215.0,3697.0,3.745054945054945
Snap25-IRES2-Cre;Ai14-464325,Aged(18m),Male,13800,9717.5,3684.5,3.516544560447951
Snap25-IRES2-Cre;Ai14-464751,Aged(18m),Male,8908,32954.5,7387.0,2.2738260264415517
Snap25-IRES2-Cre;Ai14-464759,Aged(18m),Female,11354,8746.5,3418.0,3.2370976888957266
Snap25-IRES2-Cre;Ai14-468792,Aged(18m),Male,16614,9953.0,3747.0,2.8227935311546046
Snap25-IRES2-Cre;Ai14-536274,Adult(2m),Female,93,7250.0,3344.0,5.991657186196435
Snap25-IRES2-Cre;Ai14-538745,Adult(2m),Female,7545,10090.0,3736.0,2.6896065262060294
Snap25-IRES2-Cre;Ai14-539606,Adult(2m),Male,141,7404.0,3574.0,5.035389282103134
Snap25-IRES2-Cre;Ai14-539609,Adult(2m),Female,16,18608.0,5466.5,6.04161100425271
Snap25-IRES2-Cre;Ai14-540230,Adult(2m),Female,6,11222.0,4446.5,4.796047319702733
Snap25-IRES2-Cre;Ai14-546892,Adult(2m),Male,20,7328.0,3389.0,4.887805751155776
Snap25-IRES2-Cre;Ai14-546895,Adult(2m),Male,1,14821.0,5204.0,7.259968962957965
Snap25-IRES2-Cre;Ai14-547122,Adult(2m),Male,4,8074.0,3633.5,3.7907102724157187
Snap25-IRES2-Cre;Ai14-549927,Adult(2m),Male,6658,13661.0,4488.5,3.03537686154312
Snap25-IRES2-Cre;Ai14-551639,Adult(2m),Male,171,9231.0,4021.0,6.082337317397078
Snap25-IRES2-Cre;Ai14-556848,Adult(2m),Male,53,12575.0,4832.0,6.203078078078078
Snap25-IRES2-Cre;Ai14-566076,Adult(2m),Female,10,7883.0,3503.5,4.7957246482941525
Snap25-IRES2-Cre;Ai14-568464,Adult(2m),Female,36,8510.0,3866.5,7.155114779107172
Snap25-IRES2-Cre;Ai14-618176,Adult(2m),Male,2661,30865.0,7101.0,2.43139659665798
Snap25-IRES2-Cre;Ai14-619870,Adult(2m),Female,5813,27485.0,6648.0,2.4741353827963346
