cell_type,gene,n_cells,mean_log1p,fraction_detected
GABAergic_Neuron,Slc17a6,18270,0.055722592409535456,0.1461959496442255
GABAergic_Neuron,Slc17a7,18270,0.00024256129623851302,0.0009852216748768472
GABAergic_Neuron,Slc32a1,18270,0.9910879011345766,0.9675424192665572
GABAergic_Neuron,Gad1,18270,1.4674877457389606,0.9896004378762999
GABAergic_Neuron,Gad2,18270,2.1346281179901267,0.9845101258894362
Glutamatergic_Neuron,Slc17a6,17866,1.4701702918570054,0.988133885592746
Glutamatergic_Neuron,Slc17a7,17866,0.002019486702611237,0.002630695175193104
Glutamatergic_Neuron,Slc32a1,17866,0.029457692052744892,0.07125265868129407
Glutamatergic_Neuron,Gad1,17866,0.1532678878590418,0.28529049591402666
Glutamatergic_Neuron,Gad2,17866,0.4033903068399883,0.46490540691816856
