cell_label,brain_section_label,cluster_alias,average_correlation_score
1017092617102940230,C57BL6J-638850.25,5283,0.556312586908043
1018093344102440709-2,C57BL6J-638850.36,5283,0.585503308953775
1018093344103910614,C57BL6J-638850.35,5283,0.561008876888328
1019171907102770500,C57BL6J-638850.37,5283,0.603757454316071
1018093343102350561,C57BL6J-638850.24,5283,0.695142014062569
1018093344201470230,C57BL6J-638850.35,5283,0.535283864144326
1019171907102780167,C57BL6J-638850.37,5283,0.582423525608132
1104095349102790314,C57BL6J-638850.26,5283,0.618670629255829
1018093344101320608-2,C57BL6J-638850.36,5283,0.512170275716311
1104095349101430508,C57BL6J-638850.39,5283,0.680582282061847
1017092617102550059,C57BL6J-638850.38,5283,0.514945443498494
1017092617102960410,C57BL6J-638850.25,5283,0.578916492714301
1104095349102120294-1,C57BL6J-638850.32,5283,0.539061264278318
1018093344101500050-2,C57BL6J-638850.36,5283,0.547017379314793
1017092617100730581,C57BL6J-638850.25,5283,0.654825525638544
1017092617100730622,C57BL6J-638850.25,5283,0.603942319653947
1104095349102790076,C57BL6J-638850.26,5283,0.511699589907197
1019171907102780107,C57BL6J-638850.37,5283,0.661310311356456
1018093344102150078-3,C57BL6J-638850.18,5283,0.567536563698317
1017092617100700141,C57BL6J-638850.25,5283,0.56943248942077
1017092617102240339,C57BL6J-638850.38,5283,0.51336216811267
1017092617102240532,C57BL6J-638850.38,5283,0.533590738973918
1104095349100250116,C57BL6J-638850.32,5283,0.648488881247937
1104095349102750263,C57BL6J-638850.26,5283,0.598711799196211
1018093343102340910,C57BL6J-638850.24,5283,0.572189536816012
1018093344102420487,C57BL6J-638850.36,5283,0.513258773179037
1017092617100720120,C57BL6J-638850.25,5283,0.515901505524243
1017092617102960448,C57BL6J-638850.25,5283,0.639856667078854
1018093344102430576-2,C57BL6J-638850.36,5283,0.647337727358513
1018093344102620327-2,C57BL6J-638850.36,5283,0.644375086184481
1104095349100240079,C57BL6J-638850.32,5283,0.52300469831576
1017092617102060591,C57BL6J-638850.38,5283,0.613088609967909
1019171907102780296,C57BL6J-638850.37,5283,0.577948329418429
